                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2335,                 4.1154,                 3.0164,                0.61443,                0.01859,                 0.0142,                0.00412,                 3.4844,                 3.2122,                 2.0097,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.8351,                 2.5302,                 1.6265,                 0.2634,                  0.089,                0.04966,                0.01951,                   2.69,                  2.178,                 1.4282,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4294,                 2.1875,                 1.3833,                0.21842,                0.11077,                0.07875,                0.03483,                 2.2653,                 1.8758,                 1.2914,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.1871,                 1.9552,                 1.2707,                0.35265,                0.13585,                 0.1064,                0.05136,                 1.9548,                 1.6942,                 1.1666,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0364,                  1.797,                 1.2068,                0.18869,                0.16907,                0.12399,                0.06185,                 1.8819,                 1.5485,                   1.13,               0.009802,               0.009802,               0.009802
                      6,                  1.949,                 1.6872,                 1.1735,                0.23047,                0.17062,                0.13006,                0.06694,                 1.8233,                 1.4914,                 1.1131,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8808,                 1.6062,                 1.1505,                0.23118,                0.19109,                0.14894,                0.07852,                 1.7675,                 1.4181,                 1.0937,               0.009703,               0.009703,               0.009703
                      8,                 1.8183,                 1.5303,                 1.1286,                 0.2619,                0.19738,                0.15949,                0.08215,                 1.7277,                 1.3825,                 1.0836,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7931,                 1.4934,                 1.1125,                0.24331,                0.19987,                0.16619,                0.08807,                 1.6809,                 1.3513,                  1.065,               0.009604,               0.009604,               0.009604
                     10,                 1.7563,                  1.458,                 1.1059,                0.26029,                0.20128,                0.16864,                0.09172,                 1.6605,                 1.3403,                 1.0577,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7324,                  1.427,                 1.0953,                0.25952,                0.20633,                0.17661,                0.09484,                 1.6373,                 1.3044,                 1.0532,               0.009505,               0.009505,               0.009505
                     12,                 1.7162,                 1.4037,                   1.09,                 0.2838,                0.21182,                 0.1897,                0.10096,                 1.6337,                 1.2729,                  1.047,              0.0094555,              0.0094555,              0.0094555
