                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.126,                 5.3705,                 3.9676,                0.07985,                 0.0163,                 0.0011,                0.00036,                    nan,                    inf,                 3.6852,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.4292,                 4.1117,                 2.7903,                0.62047,                0.05912,                0.00959,                0.00266,                    nan,                 5.7245,                  2.514,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.9337,                 3.5187,                 2.2222,                0.58331,                0.08108,                0.03745,                0.01278,                    nan,                 3.5618,                 2.2271,              0.0098911,              0.0098911,              0.0098911
                      4,                  2.584,                 3.0353,                 1.9347,                0.22228,                0.13596,                 0.0807,                0.03442,                    nan,                 6.3745,                 1.9953,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3706,                 2.7353,                 1.7609,                0.46431,                0.19541,                 0.1079,                0.04796,                    nan,                 3.5453,                 1.8111,               0.009802,               0.009802,               0.009802
                      6,                 2.2571,                 2.5213,                 1.6928,                0.67313,                0.14729,                0.19968,                0.09686,                    nan,                 2.6258,                 1.6913,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1604,                 2.2563,                 1.5779,                0.54863,                0.20591,                0.21978,                0.11229,                    nan,                 2.0988,                 1.6309,               0.009703,               0.009703,               0.009703
                      8,                 2.0617,                   2.08,                 1.5154,                0.71728,                0.20505,                0.24218,                0.12038,                    nan,                 2.1872,                 1.5985,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0229,                  2.026,                 1.4849,                0.73498,                0.23676,                0.24676,                0.13394,                    nan,                   2.03,                 1.5371,               0.009604,               0.009604,               0.009604
                     10,                 1.9591,                  1.872,                 1.4412,                0.85512,                0.21956,                0.31215,                0.16379,                    nan,                 1.8965,                 1.5133,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9325,                 1.8842,                 1.4462,                0.73519,                0.25482,                0.28753,                0.14336,                    nan,                 1.8385,                 1.5457,               0.009505,               0.009505,               0.009505
                     12,                 1.8639,                 1.7636,                 1.4088,                0.62841,                0.27759,                0.29874,                0.14982,                    nan,                 1.8782,                 1.5398,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8553,                 1.7543,                 1.3955,                0.77571,                0.27676,                 0.3274,                0.17741,                    nan,                 1.7639,                 1.4395,               0.009406,               0.009406,               0.009406
                     14,                 1.8017,                 1.7009,                 1.3687,                0.65731,                0.29179,                0.32873,                0.17263,                    nan,                    1.7,                 1.4931,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8199,                 1.6831,                  1.357,                0.83097,                0.28949,                0.35517,                 0.1866,                    nan,                 1.6368,                 1.4209,               0.009307,               0.009307,               0.009307
                     16,                   1.78,                 1.6051,                 1.3474,                0.65818,                0.33303,                0.36667,                0.20508,                    nan,                 1.6015,                 1.3972,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7486,                 1.5702,                 1.3268,                0.73146,                0.34333,                0.37394,                0.20305,                    nan,                 1.6061,                 1.4124,               0.009208,               0.009208,               0.009208
                     18,                 1.7011,                 1.5001,                 1.2964,                0.66057,                 0.3229,                0.33898,                0.18442,                    nan,                 1.6976,                 1.4208,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7171,                  1.525,                 1.3154,                0.78558,                0.35357,                0.40652,                0.22686,                    nan,                 1.5185,                 1.3712,               0.009109,               0.009109,               0.009109
                     20,                  1.686,                 1.4768,                 1.2909,                0.49714,                0.35137,                0.35477,                0.20496,                    nan,                 1.6014,                 1.3626,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6478,                 1.4425,                 1.2749,                0.76305,                0.38275,                0.41932,                0.24077,                    nan,                 1.3849,                 1.3595,                0.00901,                0.00901,                0.00901
                     22,                  1.651,                 1.4083,                 1.2643,                0.58014,                0.40273,                0.41539,                0.24185,                    nan,                 1.5177,                 1.3569,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6478,                 1.4254,                 1.2666,                0.76086,                0.36175,                0.41697,                0.23894,                    nan,                 1.4633,                 1.3573,               0.008911,               0.008911,               0.008911
