                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1401,                 5.2981,                 3.9128,                 0.0035,                0.05148,                0.00226,                0.00062,                 3.4584,                 5.0599,                 3.1799,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.3724,                 4.0745,                 2.7204,                 0.4875,                0.04093,                0.01198,                0.00365,                  2.972,                 5.2315,                 2.4804,              0.0066237,              0.0066237,              0.0066237
                      3,                  2.939,                 3.5332,                 2.2185,                0.43544,                0.05909,                0.02034,                0.00679,                   2.93,                 3.8268,                 2.3425,              0.0098911,              0.0098911,              0.0098911
                      4,                 2.5917,                 3.0286,                 1.9488,                0.30676,                0.11285,                0.10405,                0.04532,                   2.33,                 3.7356,                 1.9054,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3644,                 2.6908,                  1.776,                0.33957,                0.18818,                 0.1174,                0.04918,                 2.3066,                 3.5594,                  1.888,               0.009802,               0.009802,               0.009802
                      6,                 2.2466,                 2.4945,                 1.7099,                0.51478,                0.17385,                0.15748,                0.07928,                 2.0379,                 2.6396,                 1.6937,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1559,                 2.2669,                 1.5908,                0.72222,                0.16962,                0.18487,                0.08922,                 2.0663,                 2.2913,                 1.6915,               0.009703,               0.009703,               0.009703
                      8,                 2.0619,                 2.0768,                 1.5368,                0.75377,                0.19499,                0.22253,                0.11233,                 1.9879,                 2.1542,                 1.6297,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0204,                 2.0231,                 1.5044,                0.73001,                0.23266,                0.24711,                0.12918,                 1.9562,                 2.0318,                 1.6011,               0.009604,               0.009604,               0.009604
                     10,                 1.9596,                 1.8682,                 1.4655,                0.76043,                0.21727,                0.27468,                 0.1475,                 1.8862,                 1.9819,                  1.582,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9274,                 1.9089,                 1.4645,                0.75272,                0.24309,                0.29881,                0.15841,                  1.843,                 1.8715,                  1.533,               0.009505,               0.009505,               0.009505
                     12,                 1.8545,                 1.7628,                 1.4259,                0.67643,                0.28931,                0.34571,                0.17907,                 1.8392,                 1.7082,                 1.5332,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8602,                 1.7619,                 1.4161,                0.77286,                0.28911,                0.33399,                 0.1776,                 1.7757,                 1.7998,                 1.4846,               0.009406,               0.009406,               0.009406
                     14,                  1.797,                 1.6968,                 1.3877,                0.66623,                0.31928,                0.33442,                0.17438,                  1.792,                 1.5825,                 1.4975,              0.0093565,              0.0093565,              0.0093565
