                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2015,                 5.3219,                 3.8856,                0.00229,                 0.0326,                0.00145,                0.00036,                 1.3964,                    inf,                 3.1699,              0.0033233,              0.0033233,              0.0033233
                      2,                 1.4082,                 4.1211,                 2.8125,                0.57174,                0.07082,                0.01416,                0.00416,                 1.0717,                  6.075,                 2.4798,              0.0066237,              0.0066237,              0.0066237
                      3,                 1.0776,                  3.501,                 2.2482,                 0.3527,                0.12264,                0.03904,                0.01476,                0.98959,                 6.2942,                 2.3084,              0.0098911,              0.0098911,              0.0098911
                      4,                0.93414,                 2.9874,                 2.0207,                0.37406,                0.10907,                0.07085,                0.02798,                0.80559,                 5.2948,                 1.9747,              0.0098515,              0.0098515,              0.0098515
                      5,                0.85186,                 2.6608,                 1.8718,                0.49367,                0.14123,                0.11026,                0.03956,                0.79524,                 3.1814,                 1.9599,               0.009802,               0.009802,               0.009802
                      6,                 0.7986,                 2.4967,                 1.8139,                0.51516,                0.17365,                0.15081,                0.06497,                 0.7039,                 2.7401,                 1.8205,              0.0097525,              0.0097525,              0.0097525
                      7,                0.74369,                 2.2468,                 1.7043,                0.69969,                0.17265,                0.16744,                0.07447,                0.70212,                 2.3744,                 1.8235,               0.009703,               0.009703,               0.009703
                      8,                0.70028,                 2.1014,                 1.6454,                 0.7405,                0.19944,                0.22683,                0.10838,                0.67729,                 2.1294,                 1.7661,              0.0096535,              0.0096535,              0.0096535
                      9,                0.67928,                 2.0562,                 1.6159,                0.71119,                0.20877,                0.23259,                0.11198,                 0.6516,                 2.1455,                 1.7321,               0.009604,               0.009604,               0.009604
                     10,                0.64243,                 1.9312,                 1.5763,                0.79498,                0.19578,                0.26328,                0.13082,                0.61659,                  2.087,                 1.6803,              0.0095545,              0.0095545,              0.0095545
                     11,                0.64367,                 1.9303,                 1.5655,                0.58018,                0.26429,                0.28734,                0.14316,                0.60279,                 1.8604,                 1.6466,               0.009505,               0.009505,               0.009505
                     12,                0.61664,                 1.8087,                 1.5358,                0.59948,                 0.2572,                 0.2964,                0.15174,                0.60937,                 1.8865,                 1.6639,              0.0094555,              0.0094555,              0.0094555
                     13,                0.62151,                 1.8061,                 1.5247,                0.55589,                0.28263,                0.30811,                0.15213,                0.57635,                 1.7634,                 1.6094,               0.009406,               0.009406,               0.009406
                     14,                0.59389,                 1.7464,                 1.4899,                0.55971,                0.28954,                0.30739,                0.15551,                0.57342,                   1.68,                 1.5955,              0.0093565,              0.0093565,              0.0093565
                     15,                0.57541,                 1.7382,                 1.4798,                0.74466,                0.25569,                0.31021,                0.15735,                0.56981,                 1.8328,                 1.5892,               0.009307,               0.009307,               0.009307
                     16,                0.57702,                 1.6804,                 1.4769,                0.68434,                0.25492,                0.28518,                0.14592,                0.55666,                 1.9463,                 1.5807,              0.0092575,              0.0092575,              0.0092575
                     17,                0.56874,                 1.6327,                 1.4467,                0.61173,                0.32841,                0.35548,                0.17721,                0.55494,                 1.6685,                 1.5762,               0.009208,               0.009208,               0.009208
                     18,                0.54177,                 1.5777,                 1.4168,                0.64622,                0.33288,                0.36454,                0.19044,                0.54078,                 1.6557,                 1.5467,              0.0091585,              0.0091585,              0.0091585
                     19,                0.56238,                 1.5922,                 1.4366,                0.62661,                0.32198,                0.37029,                0.19734,                 0.5224,                 1.6215,                 1.4977,               0.009109,               0.009109,               0.009109
