               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11042,            0.052862,            0.071302,             0.13603,            0.023794,           0.0013889,          0.00032741,             0.10254,            0.091281,            0.069882,             0.07009,           0.0033233,           0.0033233
                   1,             0.10037,            0.047887,            0.057068,             0.33912,            0.087711,           0.0051346,            0.001384,            0.095455,            0.088153,            0.057086,            0.040057,           0.0066237,           0.0066237
                   2,            0.096513,             0.04726,            0.052471,              0.1441,            0.038669,           0.0063885,           0.0017658,            0.096278,             0.33363,            0.067047,           0.0099915,           0.0098911,           0.0098911
                   3,            0.092931,            0.050048,            0.047704,             0.28601,            0.025579,            0.010152,            0.002804,              0.0914,             0.11532,            0.060146,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089049,            0.049517,            0.042727,             0.38141,            0.086535,            0.032366,            0.010423,            0.082913,            0.097536,            0.039407,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086435,            0.048023,            0.039841,             0.54421,            0.099143,            0.051174,            0.016196,            0.083759,            0.092638,            0.037032,            0.009802,            0.009802,            0.009802
                   6,            0.083353,            0.048516,            0.035552,             0.61937,              0.1392,            0.065792,            0.020748,            0.078798,            0.090973,            0.035486,           0.0097525,           0.0097525,           0.0097525
                   7,            0.081569,            0.047533,            0.034256,             0.76845,             0.09541,            0.081754,            0.025806,            0.076877,            0.092582,             0.03201,            0.009703,            0.009703,            0.009703
                   8,            0.079972,            0.047084,            0.031491,             0.64901,             0.16107,            0.097104,            0.033589,            0.077161,            0.089942,            0.030989,           0.0096535,           0.0096535,           0.0096535
                   9,            0.078625,            0.046113,            0.029263,             0.72863,             0.16508,             0.13149,            0.048132,              0.0723,            0.091823,            0.027885,            0.009604,            0.009604,            0.009604
                  10,             0.07742,            0.046018,            0.028259,             0.67055,              0.1728,             0.11482,             0.03911,             0.07477,            0.087479,            0.026789,           0.0095545,           0.0095545,           0.0095545
                  11,             0.07678,              0.0446,            0.025719,             0.72942,             0.18748,             0.16779,            0.066758,            0.069888,            0.086763,            0.023534,            0.009505,            0.009505,            0.009505
                  12,            0.075282,            0.044637,            0.024851,             0.70871,             0.20205,             0.18215,            0.072481,            0.069112,            0.087157,            0.022777,           0.0094555,           0.0094555,           0.0094555
                  13,            0.074524,            0.043988,            0.025131,             0.70961,             0.19639,             0.16673,            0.064748,            0.069763,            0.083394,            0.023445,            0.009406,            0.009406,            0.009406
                  14,            0.073898,            0.043419,            0.022755,             0.74935,             0.19006,             0.20446,            0.083292,            0.067484,            0.087661,            0.022136,           0.0093565,           0.0093565,           0.0093565
                  15,              0.0733,            0.043577,             0.02253,             0.75177,             0.18277,             0.18454,            0.077282,            0.067072,            0.085659,            0.022921,            0.009307,            0.009307,            0.009307
                  16,            0.071782,            0.042915,            0.021833,             0.74344,             0.18876,             0.18847,            0.076355,            0.070208,            0.090962,            0.026569,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071822,            0.042714,            0.021087,             0.77342,             0.22115,             0.24228,             0.10227,            0.065282,            0.082783,            0.021538,            0.009208,            0.009208,            0.009208
                  18,            0.070558,            0.042758,            0.020244,             0.73497,             0.21707,             0.24355,             0.10555,            0.063313,            0.084465,            0.021044,           0.0091585,           0.0091585,           0.0091585
                  19,            0.070262,            0.041842,            0.019947,             0.74639,             0.23959,             0.24783,              0.1039,            0.063903,            0.081558,            0.021428,            0.009109,            0.009109,            0.009109
                  20,            0.069286,            0.041191,            0.019147,             0.77703,             0.25495,             0.25671,              0.1066,            0.062633,            0.080442,            0.020588,           0.0090595,           0.0090595,           0.0090595
                  21,            0.069056,            0.041872,            0.018843,             0.76259,             0.24388,             0.26227,             0.11034,            0.063382,            0.082258,            0.018468,             0.00901,             0.00901,             0.00901
                  22,             0.06856,            0.041643,            0.018742,             0.75329,             0.24467,             0.25275,             0.10931,             0.06294,            0.080878,            0.019648,           0.0089605,           0.0089605,           0.0089605
                  23,            0.068176,            0.041471,            0.018434,             0.75302,             0.25888,             0.28023,             0.12718,            0.062053,            0.082776,            0.019311,            0.008911,            0.008911,            0.008911
                  24,            0.067483,            0.040869,            0.018065,             0.78062,             0.23634,             0.29131,             0.12471,            0.061988,            0.080035,            0.019025,           0.0088615,           0.0088615,           0.0088615
                  25,            0.067412,            0.040755,            0.017515,             0.81525,             0.25046,             0.29463,             0.13192,            0.061087,            0.079597,            0.021329,            0.008812,            0.008812,            0.008812
                  26,            0.067315,            0.040328,            0.016536,             0.81251,             0.26707,             0.31798,             0.13487,            0.061011,            0.078367,            0.016988,           0.0087625,           0.0087625,           0.0087625
