                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0302,                 5.3533,                 3.9577,                 0.0024,                0.02837,                0.00136,                0.00037,                 3.6084,                 9.2803,                 3.2144,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.3674,                 4.1215,                 2.7835,                 0.5621,                0.07386,                 0.0119,                0.00387,                 2.8815,                 3.9207,                 2.5357,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.9266,                 3.5076,                 2.2435,                0.03015,                0.05054,                0.01591,                0.00499,                 2.8226,                 3.9871,                 2.3458,              0.0098911,              0.0098911,              0.0098911
                      4,                 2.5708,                  3.032,                 1.9557,                0.36916,                0.09715,                0.08125,                0.03676,                 2.4214,                 3.7278,                 1.9142,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3515,                 2.7293,                 1.7741,                0.49825,                0.16914,                0.13701,                0.06108,                 2.2889,                 2.7514,                 1.8383,               0.009802,               0.009802,               0.009802
                      6,                 2.2268,                 2.5102,                  1.699,                0.48243,                0.18215,                0.14085,                0.06414,                 2.1675,                 2.7586,                 1.7356,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1397,                 2.2612,                 1.5886,                 0.6902,                0.20779,                0.19724,                0.09785,                 1.9894,                 2.1768,                 1.6408,               0.009703,               0.009703,               0.009703
                      8,                 2.0501,                 2.0894,                 1.5322,                0.70503,                0.22704,                0.23553,                0.12119,                 1.9335,                 2.1598,                 1.6286,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0068,                 2.0246,                  1.496,                0.74559,                0.22756,                0.23781,                0.12614,                 1.8595,                 2.0341,                 1.5511,               0.009604,               0.009604,               0.009604
                     10,                 1.9385,                 1.8751,                 1.4534,                0.81462,                0.21675,                0.27888,                0.14806,                 1.8532,                 1.8639,                 1.5362,              0.0095545,              0.0095545,              0.0095545
