               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19017,            0.035621,            0.076426,          0.00051706,            0.012528,          0.00026985,          6.5075e-05,             0.21502,             0.19106,             0.10473,             0.07009,           0.0033233,           0.0033233
                   1,             0.15374,            0.043056,            0.064698,             0.81255,            0.024002,           0.0056027,           0.0014669,             0.13666,             0.12394,            0.064552,            0.040057,           0.0066237,           0.0066237
                   2,             0.13508,            0.042741,            0.052634,            0.011016,            0.023557,           0.0044624,           0.0013239,             0.15429,             0.10359,             0.05746,           0.0099915,           0.0098911,           0.0098911
                   3,             0.11991,            0.046865,            0.046884,            0.081257,            0.017918,           0.0035487,          0.00072322,             0.16071,            0.069801,            0.058233,           0.0098515,           0.0098515,           0.0098515
                   4,             0.10804,            0.052562,            0.040448,             0.70606,             0.16757,            0.089399,            0.032691,            0.092417,             0.07915,            0.040146,           0.0098515,           0.0098515,           0.0098515
                   5,              0.1006,            0.052325,            0.036856,             0.76131,             0.15893,             0.13549,            0.053128,            0.090103,              0.0768,            0.036305,            0.009802,            0.009802,            0.009802
                   6,            0.094069,            0.049286,            0.032447,             0.78764,             0.20508,             0.20479,            0.081199,            0.084785,            0.078223,            0.032467,           0.0097525,           0.0097525,           0.0097525
                   7,             0.08932,            0.051245,            0.028194,             0.75616,              0.2194,               0.204,            0.087702,             0.08393,            0.072568,            0.030961,            0.009703,            0.009703,            0.009703
                   8,            0.086585,            0.051711,            0.025466,             0.83332,             0.24092,             0.27059,             0.13143,            0.073124,            0.072772,            0.026757,           0.0096535,           0.0096535,           0.0096535
                   9,            0.084126,            0.050927,            0.022889,             0.82913,             0.23502,             0.26609,             0.12725,            0.077693,            0.071055,            0.024937,            0.009604,            0.009604,            0.009604
                  10,            0.080809,            0.049237,            0.021737,             0.86261,             0.26276,             0.29281,             0.14237,            0.076038,            0.068659,            0.023656,           0.0095545,           0.0095545,           0.0095545
                  11,            0.078723,            0.047997,            0.020296,             0.84451,             0.29878,             0.35217,             0.18433,            0.066995,            0.069043,            0.021778,            0.009505,            0.009505,            0.009505
                  12,            0.077112,            0.047112,            0.019299,             0.79404,             0.29206,             0.34095,             0.16566,            0.067316,            0.069192,            0.021164,           0.0094555,           0.0094555,           0.0094555
                  13,            0.076957,            0.046791,            0.018818,             0.85749,             0.28006,             0.35918,             0.17726,            0.068864,            0.068483,            0.022438,            0.009406,            0.009406,            0.009406
                  14,            0.075042,            0.047016,            0.017161,             0.86105,             0.28463,             0.35828,             0.17196,            0.068031,            0.069909,            0.019581,           0.0093565,           0.0093565,           0.0093565
                  15,            0.072828,            0.046562,             0.01695,             0.83913,              0.2772,             0.34823,             0.16999,            0.069091,            0.068969,            0.020954,            0.009307,            0.009307,            0.009307
                  16,            0.071448,            0.048367,            0.015994,             0.80025,             0.33203,             0.38558,             0.19885,            0.063451,             0.06598,            0.017278,           0.0092575,           0.0092575,           0.0092575
                  17,            0.070618,            0.047018,            0.014963,             0.66586,             0.37259,             0.40543,             0.20599,            0.063194,            0.066708,            0.018996,            0.009208,            0.009208,            0.009208
                  18,            0.069835,            0.047104,            0.014388,             0.78088,             0.37422,             0.40153,              0.2047,            0.062053,            0.064361,            0.018422,           0.0091585,           0.0091585,           0.0091585
                  19,            0.068983,            0.046364,            0.013904,             0.68997,             0.39155,             0.41766,              0.2184,            0.061013,            0.064897,            0.014759,            0.009109,            0.009109,            0.009109
                  20,            0.067833,            0.045739,             0.01359,             0.79123,             0.38745,             0.42848,             0.23083,             0.05834,            0.062838,            0.015645,           0.0090595,           0.0090595,           0.0090595
                  21,            0.067278,            0.045719,            0.013065,             0.77919,             0.38019,             0.42593,             0.22197,             0.05812,            0.064509,            0.014533,             0.00901,             0.00901,             0.00901
                  22,            0.066751,            0.045079,            0.012399,             0.69663,             0.42743,             0.44763,             0.24166,            0.057857,            0.064609,            0.012489,           0.0089605,           0.0089605,           0.0089605
                  23,             0.06551,            0.045055,              0.0123,             0.71956,             0.44081,             0.46628,             0.24623,              0.0579,            0.062792,            0.013036,            0.008911,            0.008911,            0.008911
                  24,            0.064743,            0.044073,            0.011925,             0.71564,             0.42768,             0.45088,             0.23781,            0.057117,            0.067032,            0.012448,           0.0088615,           0.0088615,           0.0088615
                  25,            0.064394,            0.045645,            0.011247,             0.70027,             0.43718,              0.4647,             0.25717,             0.05577,            0.063332,            0.013195,            0.008812,            0.008812,            0.008812
                  26,            0.063162,            0.042915,            0.011236,              0.7729,              0.4376,             0.46013,             0.25384,            0.057143,            0.063476,            0.011776,           0.0087625,           0.0087625,           0.0087625
                  27,            0.062501,            0.043337,            0.010449,             0.81336,             0.43908,             0.46474,             0.25418,            0.055956,             0.06313,            0.012108,            0.008713,            0.008713,            0.008713
                  28,            0.062495,            0.043581,            0.010207,              0.6768,              0.4494,             0.47099,             0.25652,            0.056106,            0.063002,            0.012515,           0.0086635,           0.0086635,           0.0086635
                  29,             0.06169,            0.042699,           0.0097628,             0.81291,             0.45517,              0.4855,             0.27308,            0.053328,            0.061953,            0.011653,            0.008614,            0.008614,            0.008614
                  30,            0.060846,            0.042128,           0.0099535,             0.68811,             0.46917,             0.48276,              0.2699,            0.053932,              0.0626,            0.011395,           0.0085645,           0.0085645,           0.0085645
                  31,            0.061682,            0.042551,           0.0095315,             0.81523,             0.45409,             0.48714,             0.26726,            0.053696,            0.061397,            0.011969,            0.008515,            0.008515,            0.008515
                  32,            0.060456,            0.042515,           0.0093088,             0.73028,             0.46254,             0.48697,             0.27389,            0.053432,            0.062104,            0.010185,           0.0084655,           0.0084655,           0.0084655
                  33,            0.059538,            0.042776,           0.0089978,             0.73837,             0.45853,             0.48659,             0.27792,            0.053829,            0.061353,            0.012237,            0.008416,            0.008416,            0.008416
                  34,            0.059741,            0.042044,           0.0087972,               0.694,             0.46165,             0.48836,             0.28331,            0.053442,            0.062548,             0.01077,           0.0083665,           0.0083665,           0.0083665
                  35,            0.059247,            0.041726,           0.0086591,             0.74834,             0.46699,             0.49823,             0.28951,            0.051978,            0.061075,            0.010553,            0.008317,            0.008317,            0.008317
                  36,            0.058321,            0.041286,             0.00878,             0.72949,             0.48189,             0.51602,             0.29828,            0.051463,            0.060707,            0.010233,           0.0082675,           0.0082675,           0.0082675
                  37,            0.058295,            0.041988,           0.0082554,             0.65208,                 0.5,             0.51007,              0.2899,            0.052102,            0.061902,            0.010952,            0.008218,            0.008218,            0.008218
