               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19093,            0.035491,            0.076561,          0.00049447,           0.0090833,          0.00025656,          6.0451e-05,             0.18964,            0.052744,            0.075819,             0.07009,           0.0033233,           0.0033233
                   1,             0.15387,             0.04304,            0.064893,             0.80984,            0.019493,           0.0040654,           0.0010574,             0.14117,             0.11236,            0.065148,            0.040057,           0.0066237,           0.0066237
                   2,             0.13295,            0.043605,            0.052413,            0.011725,            0.018499,           0.0028816,          0.00085575,             0.17559,            0.079215,            0.070907,           0.0099915,           0.0098911,           0.0098911
                   3,             0.11724,            0.047861,            0.046254,             0.08777,            0.018048,            0.010212,           0.0019463,             0.16636,            0.057682,            0.060117,           0.0098515,           0.0098515,           0.0098515
                   4,             0.10389,            0.052828,            0.039676,             0.76586,             0.12947,             0.10424,            0.040618,            0.093813,            0.079146,            0.039938,           0.0098515,           0.0098515,           0.0098515
                   5,            0.096861,            0.052511,              0.0359,             0.67536,             0.14758,             0.11807,            0.046051,              0.1024,            0.077611,             0.04336,            0.009802,            0.009802,            0.009802
                   6,            0.091827,            0.048997,            0.031584,             0.77259,             0.20211,             0.20594,            0.084779,            0.086981,            0.076322,            0.032682,           0.0097525,           0.0097525,           0.0097525
                   7,            0.087312,            0.050924,             0.02712,             0.78534,             0.21662,             0.22445,             0.09949,            0.081288,            0.070329,            0.030005,            0.009703,            0.009703,            0.009703
                   8,            0.085071,             0.05161,            0.024621,             0.81583,             0.24744,              0.2681,             0.12489,            0.074607,            0.071127,            0.025031,           0.0096535,           0.0096535,           0.0096535
                   9,            0.082021,            0.050604,            0.021911,             0.87066,             0.27523,             0.33567,             0.16044,              0.0694,            0.069234,            0.021729,            0.009604,            0.009604,            0.009604
                  10,            0.079585,            0.048738,            0.020798,             0.83348,             0.29302,             0.32911,             0.16367,            0.068556,            0.068029,            0.020832,           0.0095545,           0.0095545,           0.0095545
                  11,            0.077029,            0.047334,            0.019642,             0.84728,             0.26453,             0.31817,             0.15429,            0.072145,            0.068189,            0.027828,            0.009505,            0.009505,            0.009505
                  12,            0.075743,            0.046845,            0.018668,              0.8625,             0.29078,             0.35133,             0.16995,            0.068619,            0.067425,             0.01971,           0.0094555,           0.0094555,           0.0094555
                  13,            0.075702,            0.046561,            0.018407,             0.83417,             0.31315,             0.38888,             0.18899,            0.063886,            0.066312,            0.019314,            0.009406,            0.009406,            0.009406
                  14,            0.073437,            0.046794,            0.016753,              0.8605,             0.30358,             0.37117,             0.19069,            0.064612,            0.070436,            0.019389,           0.0093565,           0.0093565,           0.0093565
                  15,            0.071862,            0.046133,             0.01671,             0.84194,             0.27779,              0.3568,             0.16971,            0.070599,            0.067055,            0.019787,            0.009307,            0.009307,            0.009307
                  16,            0.070332,            0.047844,            0.015497,             0.68876,             0.36705,             0.39012,             0.19498,            0.064528,            0.066242,            0.018434,           0.0092575,           0.0092575,           0.0092575
                  17,            0.069298,            0.046827,             0.01473,             0.65728,             0.36849,             0.38366,             0.19264,            0.062383,            0.065908,            0.018836,            0.009208,            0.009208,            0.009208
                  18,            0.068652,            0.046847,            0.014138,             0.80317,             0.37746,             0.42384,             0.22143,            0.060468,            0.064061,            0.016681,           0.0091585,           0.0091585,           0.0091585
                  19,            0.068424,            0.046275,            0.013779,             0.79125,             0.38134,             0.43809,             0.22632,            0.059517,            0.064522,            0.015225,            0.009109,            0.009109,            0.009109
                  20,            0.067078,            0.045278,            0.013537,             0.80757,               0.413,             0.45113,             0.24685,            0.056607,            0.063521,            0.015272,           0.0090595,           0.0090595,           0.0090595
                  21,            0.066598,            0.045417,            0.013166,             0.69639,             0.41356,             0.43589,             0.22999,            0.057962,            0.064415,            0.015688,             0.00901,             0.00901,             0.00901
                  22,            0.065557,            0.044735,            0.012105,             0.82101,              0.4163,             0.45451,             0.24437,             0.05722,            0.064147,            0.012605,           0.0089605,           0.0089605,           0.0089605
                  23,            0.064153,            0.044845,            0.012339,             0.75835,             0.42151,             0.46317,             0.25182,            0.057177,            0.063974,             0.01344,            0.008911,            0.008911,            0.008911
                  24,            0.064043,            0.043832,             0.01176,             0.78589,             0.42547,             0.45671,             0.25018,            0.056791,             0.06349,            0.013289,           0.0088615,           0.0088615,           0.0088615
                  25,            0.063686,            0.045211,            0.011097,             0.74057,             0.44524,             0.47806,             0.26728,            0.055814,            0.063768,            0.013128,            0.008812,            0.008812,            0.008812
