                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9619,                 5.1471,                 3.7853,                0.00472,                 0.0825,                 0.0045,                0.00121,                 3.2908,                 4.0041,                 3.1596,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.3428,                 4.0438,                 2.7315,                  0.084,                0.05981,                0.01071,                0.00364,                  2.985,                 8.4411,                 2.4611,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.8808,                 3.4381,                  2.228,                0.29893,                0.07499,                 0.0374,                0.01518,                  2.682,                  4.648,                 2.2322,              0.0098911,              0.0098911,              0.0098911
                      4,                  2.589,                 2.9233,                 1.9388,                0.15714,                0.15122,                0.08005,                0.03076,                 2.4881,                 3.7189,                 1.9864,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.367,                 2.5542,                 1.7675,                0.56574,                0.18496,                 0.1602,                0.07126,                 2.2395,                 2.6099,                 1.8376,               0.009802,               0.009802,               0.009802
                      6,                 2.2202,                 2.3097,                 1.6733,                0.70376,                0.17709,                0.19316,                0.09033,                 2.1365,                 2.4064,                  1.783,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1293,                  2.164,                 1.5912,                0.58458,                0.18826,                 0.1667,                0.07518,                 2.1115,                 2.5633,                 1.7017,               0.009703,               0.009703,               0.009703
                      8,                 2.0471,                 1.9961,                 1.5258,                0.72449,                0.22531,                0.24041,                0.11639,                 2.0009,                 2.0973,                 1.6442,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0192,                 2.0162,                 1.5211,                0.65366,                0.24274,                0.24377,                 0.1201,                 1.8962,                 1.9674,                 1.5747,               0.009604,               0.009604,               0.009604
                     10,                 1.9244,                  1.837,                 1.4548,                0.62036,                0.24752,                0.26565,                0.12532,                 2.0179,                 1.9485,                 1.6327,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.903,                 1.7997,                 1.4267,                0.76599,                 0.2801,                0.30328,                0.15427,                 1.8498,                 1.8532,                  1.505,               0.009505,               0.009505,               0.009505
                     12,                  1.871,                 1.7205,                 1.4038,                 0.6325,                0.30862,                0.32999,                0.17147,                 1.8052,                 1.7213,                 1.5144,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8326,                 1.6913,                 1.3819,                0.66782,                0.33215,                 0.3407,                0.18539,                  1.746,                 1.6901,                 1.4555,               0.009406,               0.009406,               0.009406
                     14,                  1.815,                 1.6728,                  1.387,                0.60184,                0.31888,                0.34287,                0.18591,                 1.7179,                  1.662,                 1.4281,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7776,                 1.6272,                 1.3598,                0.65722,                0.31183,                0.34289,                0.17694,                 1.8036,                 1.8787,                 1.4621,               0.009307,               0.009307,               0.009307
                     16,                 1.7636,                 1.5511,                 1.3353,                0.59662,                0.33461,                0.32234,                0.17465,                 1.7056,                 1.8029,                 1.4171,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7235,                 1.5414,                 1.3289,                0.68867,                0.32033,                0.35961,                0.20092,                 1.6645,                 1.4997,                 1.3924,               0.009208,               0.009208,               0.009208
                     18,                 1.7265,                 1.5225,                 1.3307,                0.57192,                0.35807,                0.36602,                0.20196,                  1.657,                 1.4952,                 1.3807,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7065,                 1.5063,                 1.3044,                0.60329,                0.37013,                0.38845,                0.21779,                 1.6461,                 1.5032,                  1.365,               0.009109,               0.009109,               0.009109
                     20,                 1.6873,                  1.454,                 1.2778,                0.60295,                0.36792,                0.38397,                0.21322,                  1.613,                 1.4576,                 1.3473,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6448,                 1.4316,                 1.2749,                0.68345,                0.39042,                0.42326,                0.23746,                 1.6221,                 1.5191,                 1.3541,                0.00901,                0.00901,                0.00901
                     22,                 1.6427,                 1.4434,                 1.2673,                0.55508,                0.39991,                0.40747,                0.23196,                 1.6258,                 1.4369,                 1.3518,              0.0089605,              0.0089605,              0.0089605
