                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0108,                 4.7572,                 3.4333,                0.61336,                0.03355,                0.00525,                 0.0014,                 3.3633,                 4.2894,                  2.759,                0.07009,              0.0033233,              0.0033233
                      2,                 3.2929,                 3.7903,                 2.4711,                 0.1155,                0.09201,                0.02627,                 0.0087,                 2.9462,                  3.932,                 2.2585,               0.040057,              0.0066237,              0.0066237
                      3,                 2.8335,                 3.2869,                 2.0684,                0.22794,                0.04376,                0.02011,                0.00706,                 3.2591,                 17.257,                 2.4048,              0.0099915,              0.0098911,              0.0098911
                      4,                  2.572,                 2.8633,                 1.8478,                0.32547,                0.14479,                0.08533,                0.03434,                 2.4417,                 3.2762,                 1.9095,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3432,                 2.5214,                 1.6888,                0.49461,                0.13513,                0.17034,                0.07759,                  2.255,                 2.6246,                 1.7896,               0.009802,               0.009802,               0.009802
                      6,                 2.2027,                 2.2942,                 1.6055,                0.65479,                0.21599,                0.22631,                 0.1034,                 2.1084,                 2.3169,                 1.6905,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1132,                 2.1643,                 1.5347,                0.66553,                0.18548,                0.20763,                0.09377,                 2.1213,                 2.1767,                 1.6332,               0.009703,               0.009703,               0.009703
                      8,                 2.0223,                 1.9698,                 1.4716,                0.73356,                0.24099,                0.28559,                0.13651,                 1.9695,                 1.9802,                 1.5698,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0026,                 1.9989,                 1.4693,                0.60534,                0.26467,                0.27284,                0.14348,                 1.8812,                 1.9074,                 1.5253,               0.009604,               0.009604,               0.009604
                     10,                 1.9117,                 1.8404,                 1.4159,                0.61012,                0.28892,                0.30448,                 0.1546,                 1.9052,                 1.9022,                 1.5076,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8814,                 1.7808,                 1.3864,                0.58126,                0.28777,                0.31293,                0.15918,                   1.85,                 1.7828,                 1.4751,               0.009505,               0.009505,               0.009505
