               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06362,            0.029101,            0.070965,             0.74415,            0.019567,           0.0031737,           0.0008059,            0.054322,            0.033342,            0.057528,             0.07009,           0.0033233,           0.0033233
                   1,            0.055246,            0.027359,            0.052769,             0.15005,            0.042735,           0.0069459,           0.0019662,            0.050943,            0.035327,            0.053374,            0.040064,             0.00663,             0.00663
                   2,            0.052515,            0.027557,            0.047408,           0.0086666,            0.042126,           0.0033755,          0.00084261,            0.051621,            0.048873,            0.055984,             0.01001,             0.00991,             0.00991
                   3,            0.049573,            0.027894,            0.038657,            0.095132,            0.034166,            0.011141,           0.0030902,            0.050155,            0.044875,            0.042733,             0.00988,             0.00988,             0.00988
                   4,            0.046591,            0.027583,            0.031568,             0.32142,             0.11667,            0.064724,            0.020909,            0.045953,            0.034016,            0.032228,             0.00988,             0.00988,             0.00988
                   5,             0.04428,            0.026101,            0.027607,             0.04119,              0.1393,             0.03462,            0.011256,            0.050643,            0.064458,            0.052018,             0.00984,             0.00984,             0.00984
                   6,            0.042662,            0.025118,            0.025359,             0.73185,             0.14412,             0.13369,            0.045155,            0.039466,            0.032623,            0.027833,              0.0098,              0.0098,              0.0098
                   7,            0.041405,            0.023991,            0.022289,             0.39775,             0.16416,             0.10664,            0.045108,            0.045517,            0.036948,            0.032042,             0.00976,             0.00976,             0.00976
                   8,            0.039943,            0.025137,            0.019349,             0.72916,              0.2342,             0.21307,            0.090199,            0.035359,            0.030373,            0.021313,             0.00972,             0.00972,             0.00972
                   9,            0.038588,            0.024661,            0.018338,              0.7713,             0.23421,             0.21836,            0.096043,            0.035478,            0.030166,            0.015527,             0.00968,             0.00968,             0.00968
                  10,            0.037048,            0.023823,            0.016529,             0.79945,             0.23667,              0.2478,             0.11154,            0.033851,            0.029464,            0.020444,             0.00964,             0.00964,             0.00964
                  11,            0.036662,            0.024238,             0.01535,             0.77021,             0.24868,             0.25044,             0.10764,            0.033763,            0.029429,            0.016989,              0.0096,              0.0096,              0.0096
                  12,            0.035979,            0.022474,            0.015576,             0.81078,             0.23551,             0.26187,             0.11246,            0.033361,            0.028275,            0.018451,             0.00956,             0.00956,             0.00956
                  13,            0.034995,            0.022299,            0.014204,             0.80712,             0.26239,             0.30979,             0.13302,            0.032384,            0.027951,            0.016883,             0.00952,             0.00952,             0.00952
                  14,            0.034317,            0.022993,            0.012884,              0.7318,             0.30208,             0.32475,             0.13997,             0.03157,             0.02749,            0.013075,             0.00948,             0.00948,             0.00948
                  15,            0.033933,            0.022463,            0.012524,             0.75924,             0.29416,             0.30912,             0.13871,            0.032219,            0.027425,            0.012716,             0.00944,             0.00944,             0.00944
