               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063607,            0.029286,            0.071136,            0.076716,            0.020451,           0.0030432,          0.00077707,            0.054927,            0.033204,            0.058119,             0.07009,           0.0033233,           0.0033233
                   1,            0.055193,            0.027474,            0.052824,             0.54479,           0.0085735,           0.0069729,           0.0018901,             0.05152,            0.043351,            0.055014,            0.040064,             0.00663,             0.00663
                   2,             0.05228,            0.027521,            0.047333,             0.28782,            0.065431,           0.0096605,           0.0025129,            0.051658,            0.032733,            0.049516,             0.01001,             0.00991,             0.00991
                   3,            0.048769,             0.02791,            0.039457,             0.31573,            0.091729,            0.036126,            0.010349,            0.048071,            0.039158,            0.037175,             0.00988,             0.00988,             0.00988
                   4,            0.046008,            0.027796,            0.032323,             0.29327,            0.071085,            0.047618,            0.015599,            0.045372,            0.037961,            0.043398,             0.00988,             0.00988,             0.00988
                   5,             0.04429,            0.026087,             0.02789,             0.55605,             0.15791,            0.074688,            0.024631,            0.042372,            0.031948,            0.027134,             0.00984,             0.00984,             0.00984
                   6,            0.042885,            0.025153,            0.025395,             0.72884,             0.13429,             0.12846,             0.05094,            0.040973,            0.031153,            0.026123,              0.0098,              0.0098,              0.0098
                   7,            0.041186,            0.023769,            0.021371,             0.70633,             0.18372,             0.15082,            0.063928,            0.041166,            0.036778,            0.023886,             0.00976,             0.00976,             0.00976
                   8,            0.039826,            0.024953,            0.019262,             0.71876,             0.23478,             0.20159,            0.084797,             0.03554,            0.031617,            0.020673,             0.00972,             0.00972,             0.00972
                   9,            0.038333,            0.024456,            0.017809,             0.77507,             0.23098,             0.22393,             0.10309,            0.034192,            0.030942,            0.016983,             0.00968,             0.00968,             0.00968
                  10,             0.03708,            0.023653,            0.016396,             0.79527,             0.24682,             0.24075,             0.10532,            0.033101,            0.029603,            0.018685,             0.00964,             0.00964,             0.00964
                  11,            0.036547,            0.024072,            0.014783,             0.78159,             0.24531,             0.24517,             0.10222,            0.033717,            0.029623,            0.017067,              0.0096,              0.0096,              0.0096
                  12,            0.035992,            0.022465,             0.01524,              0.8115,              0.2368,             0.25904,             0.11223,            0.033806,            0.029149,              0.0156,             0.00956,             0.00956,             0.00956
                  13,            0.035121,            0.022274,            0.013902,             0.81239,             0.23102,             0.25369,             0.11906,            0.035112,            0.029714,            0.022594,             0.00952,             0.00952,             0.00952
                  14,            0.034516,            0.023274,            0.013092,             0.77081,             0.26025,             0.30301,             0.13711,            0.032152,            0.029461,            0.015121,             0.00948,             0.00948,             0.00948
                  15,            0.034259,            0.022585,            0.012582,             0.78753,             0.27468,             0.31682,             0.15445,            0.030432,            0.028023,            0.016868,             0.00944,             0.00944,             0.00944
                  16,            0.033397,             0.02259,            0.012067,              0.8556,             0.27348,             0.34237,             0.16323,            0.030284,            0.027994,             0.01336,              0.0094,              0.0094,              0.0094
                  17,            0.032449,            0.022376,            0.010988,              0.7685,             0.28958,             0.35748,             0.17852,            0.028941,            0.027635,            0.014463,             0.00936,             0.00936,             0.00936
                  18,            0.032456,            0.021832,            0.011385,             0.76315,             0.34368,             0.37376,              0.1796,            0.029186,            0.027223,            0.011222,             0.00932,             0.00932,             0.00932
                  19,            0.031976,            0.021707,            0.010308,              0.7666,              0.3319,             0.36743,             0.17178,            0.029031,            0.025993,            0.012373,             0.00928,             0.00928,             0.00928
                  20,            0.031525,              0.0208,            0.010323,             0.78445,             0.34006,             0.37131,             0.17836,            0.028941,            0.026697,             0.01226,             0.00924,             0.00924,             0.00924
                  21,            0.031279,            0.021662,           0.0095127,             0.78315,             0.35148,             0.37843,             0.18488,            0.028156,            0.026424,            0.010556,              0.0092,              0.0092,              0.0092
                  22,            0.030764,            0.019934,           0.0086696,             0.81757,             0.35782,             0.40012,             0.21086,            0.027095,            0.025206,           0.0099423,             0.00916,             0.00916,             0.00916
                  23,            0.030373,            0.020656,           0.0090621,             0.74247,             0.35295,             0.38612,             0.19508,            0.027851,            0.026241,           0.0099901,             0.00912,             0.00912,             0.00912
                  24,            0.030302,            0.020586,           0.0087767,             0.83511,             0.36155,             0.38139,             0.19791,             0.02716,            0.025066,            0.010426,             0.00908,             0.00908,             0.00908
                  25,            0.030252,            0.019714,           0.0088625,              0.6877,             0.35092,             0.38929,             0.20304,            0.027021,            0.025494,            0.012084,             0.00904,             0.00904,             0.00904
                  26,            0.029628,            0.020105,           0.0085902,             0.71733,              0.3819,             0.41525,             0.21824,            0.026248,            0.024935,            0.009749,               0.009,               0.009,               0.009
                  27,             0.02934,            0.019608,           0.0081928,             0.59929,             0.39615,             0.40913,             0.21131,            0.026542,            0.026237,             0.01011,             0.00896,             0.00896,             0.00896
                  28,            0.029254,            0.019431,           0.0076276,             0.78516,             0.37054,             0.41917,             0.22604,            0.026705,             0.02469,           0.0091135,             0.00892,             0.00892,             0.00892
                  29,            0.028718,            0.020311,           0.0070874,             0.54089,             0.40099,             0.42307,             0.23093,            0.025786,            0.024596,            0.010393,             0.00888,             0.00888,             0.00888
                  30,            0.028578,            0.019528,           0.0076155,             0.60867,             0.39347,             0.41869,             0.21678,            0.026456,            0.025422,            0.008748,             0.00884,             0.00884,             0.00884
                  31,            0.028924,            0.019143,           0.0077195,             0.72954,             0.36908,             0.40019,             0.21555,             0.02565,            0.026229,            0.010075,              0.0088,              0.0088,              0.0088
                  32,            0.028391,            0.018976,           0.0072725,             0.66902,             0.41349,             0.43912,             0.23728,            0.025044,            0.024237,           0.0087818,             0.00876,             0.00876,             0.00876
                  33,            0.028341,            0.019648,           0.0074883,             0.69549,             0.39914,             0.42475,             0.22978,            0.025649,            0.024965,           0.0089397,             0.00872,             0.00872,             0.00872
                  34,            0.027781,            0.019755,           0.0064485,             0.64697,             0.42825,             0.44769,             0.24816,            0.024625,            0.025583,           0.0088403,             0.00868,             0.00868,             0.00868
                  35,            0.027474,            0.019589,           0.0062335,              0.5794,             0.42555,             0.43489,             0.24132,            0.024929,            0.024641,            0.008831,             0.00864,             0.00864,             0.00864
                  36,            0.027536,             0.01961,           0.0061998,             0.73804,             0.42593,             0.45354,             0.25417,            0.024257,            0.024648,             0.00787,              0.0086,              0.0086,              0.0086
                  37,            0.026982,            0.019116,           0.0058555,             0.58501,             0.43556,             0.45446,             0.25094,            0.024384,            0.024715,           0.0087524,             0.00856,             0.00856,             0.00856
                  38,            0.027385,            0.018924,           0.0059739,             0.71213,             0.41952,             0.43287,             0.23835,            0.024414,            0.025113,            0.010065,             0.00852,             0.00852,             0.00852
                  39,            0.027269,            0.018775,           0.0062616,             0.59369,              0.4531,             0.45553,             0.24442,            0.024118,            0.024997,           0.0086351,             0.00848,             0.00848,             0.00848
                  40,             0.02702,            0.018604,           0.0066203,             0.58108,             0.44426,             0.46145,             0.25816,            0.024081,            0.025042,            0.011277,             0.00844,             0.00844,             0.00844
                  41,            0.026961,            0.019127,           0.0062429,             0.65109,             0.44935,             0.46181,              0.2558,            0.024005,            0.024162,           0.0080672,              0.0084,              0.0084,              0.0084
                  42,            0.026668,            0.018866,           0.0059463,             0.66223,             0.45586,             0.46193,             0.25509,             0.02405,            0.024556,           0.0088317,             0.00836,             0.00836,             0.00836
                  43,             0.02634,            0.018347,           0.0058323,             0.66695,             0.45782,             0.47691,             0.26994,            0.023638,            0.024749,           0.0088453,             0.00832,             0.00832,             0.00832
                  44,             0.02615,            0.018181,            0.005111,              0.7039,             0.44466,             0.47738,             0.26822,            0.023288,            0.023999,           0.0074087,             0.00828,             0.00828,             0.00828
                  45,            0.026148,            0.018004,           0.0052704,             0.68396,             0.43123,             0.46792,             0.26153,            0.023448,            0.024272,           0.0092559,             0.00824,             0.00824,             0.00824
                  46,            0.025676,            0.018526,           0.0054245,             0.66858,             0.46305,             0.47357,             0.26785,            0.023289,            0.024409,           0.0066421,              0.0082,              0.0082,              0.0082
                  47,            0.026247,            0.018746,           0.0061749,             0.60339,             0.45438,             0.47991,             0.27054,            0.023907,            0.024035,           0.0082827,             0.00816,             0.00816,             0.00816
                  48,            0.026121,            0.018086,           0.0053996,             0.61124,             0.45914,             0.48514,             0.27141,            0.023219,            0.023992,           0.0088959,             0.00812,             0.00812,             0.00812
                  49,            0.025501,            0.017034,           0.0052451,             0.71389,             0.47004,             0.49407,             0.27862,            0.022922,            0.023847,           0.0077636,             0.00808,             0.00808,             0.00808
                  50,            0.025286,            0.018222,           0.0050086,             0.68089,             0.44813,             0.48388,             0.27139,            0.023031,            0.024446,           0.0075364,             0.00804,             0.00804,             0.00804
                  51,             0.02559,            0.018296,           0.0047655,             0.68131,             0.46772,             0.49432,             0.28629,            0.022635,            0.024271,           0.0082013,               0.008,               0.008,               0.008
                  52,            0.025203,            0.017721,           0.0048861,             0.63977,             0.45829,             0.48345,             0.27106,            0.022924,            0.024004,           0.0073782,             0.00796,             0.00796,             0.00796
                  53,            0.025195,            0.016958,           0.0050268,             0.66453,             0.46525,             0.48939,             0.27831,            0.022803,            0.023914,           0.0074402,             0.00792,             0.00792,             0.00792
                  54,            0.025411,            0.017903,           0.0047607,             0.63098,             0.47528,             0.49691,             0.28234,            0.022667,            0.023565,           0.0070976,             0.00788,             0.00788,             0.00788
                  55,             0.02479,            0.017642,           0.0045172,             0.70601,             0.47309,             0.49358,             0.28044,             0.02252,            0.024143,           0.0073553,             0.00784,             0.00784,             0.00784
                  56,            0.024599,            0.017406,           0.0042914,             0.64604,             0.46858,             0.50815,             0.29078,            0.022282,            0.023928,           0.0071261,              0.0078,              0.0078,              0.0078
                  57,            0.024758,            0.017425,           0.0045331,              0.6359,             0.47392,             0.50937,             0.29408,             0.02223,            0.023439,            0.007259,             0.00776,             0.00776,             0.00776
                  58,            0.024614,            0.017264,           0.0044433,             0.61395,             0.47987,             0.51231,             0.29298,            0.022157,            0.023483,            0.006982,             0.00772,             0.00772,             0.00772
                  59,            0.024399,            0.016942,           0.0039461,             0.68486,             0.48415,             0.51206,             0.29592,            0.021965,            0.023703,           0.0070588,             0.00768,             0.00768,             0.00768
                  60,            0.024594,            0.017378,           0.0041103,              0.7139,             0.47208,             0.51672,             0.29764,            0.022349,            0.023684,           0.0078477,             0.00764,             0.00764,             0.00764
                  61,            0.024574,            0.016886,           0.0041494,             0.64701,             0.47553,             0.51285,             0.29412,            0.022157,            0.023514,           0.0074878,              0.0076,              0.0076,              0.0076
                  62,            0.024123,            0.017005,           0.0040099,             0.68699,              0.4961,             0.51692,             0.30028,             0.02194,            0.023615,            0.007217,             0.00756,             0.00756,             0.00756
                  63,            0.024382,            0.017061,            0.004455,              0.6437,             0.48053,             0.51019,             0.30305,            0.021895,            0.023402,           0.0075276,             0.00752,             0.00752,             0.00752
                  64,            0.023977,            0.017204,           0.0038176,             0.72066,             0.47215,             0.51323,             0.30127,            0.021799,            0.023354,           0.0074755,             0.00748,             0.00748,             0.00748
                  65,            0.024226,            0.016513,           0.0040604,             0.64803,             0.48467,             0.52005,             0.29745,            0.021853,            0.023103,           0.0069008,             0.00744,             0.00744,             0.00744
                  66,            0.024025,            0.016785,           0.0040341,             0.73088,             0.47787,             0.51691,             0.30107,            0.021829,            0.023365,           0.0069305,              0.0074,              0.0074,              0.0074
                  67,            0.023977,             0.01725,           0.0037617,             0.70707,             0.47899,             0.51156,             0.29935,            0.021768,            0.023567,           0.0066375,             0.00736,             0.00736,             0.00736
                  68,            0.023832,            0.016445,           0.0038169,             0.66601,             0.48709,             0.51896,              0.3044,            0.021593,            0.023367,           0.0072462,             0.00732,             0.00732,             0.00732
                  69,            0.023638,            0.017326,            0.004107,             0.59142,             0.50286,             0.52715,             0.31065,            0.021666,            0.023283,           0.0070641,             0.00728,             0.00728,             0.00728
                  70,            0.023616,            0.016721,           0.0035403,             0.70322,             0.47848,             0.51607,             0.30475,            0.021505,            0.023301,           0.0071276,             0.00724,             0.00724,             0.00724
                  71,            0.023424,            0.016623,           0.0035943,             0.72105,             0.50031,             0.53463,             0.31571,            0.021395,            0.023095,           0.0070351,              0.0072,              0.0072,              0.0072
                  72,            0.023696,            0.016418,           0.0037713,             0.64037,             0.50356,             0.54158,             0.32141,            0.021457,            0.023079,           0.0066094,             0.00716,             0.00716,             0.00716
                  73,            0.023196,            0.016545,            0.003558,             0.63148,             0.49855,             0.52736,             0.31044,            0.021439,            0.023524,           0.0068469,             0.00712,             0.00712,             0.00712
                  74,            0.023411,            0.017496,           0.0033249,             0.65499,             0.50174,             0.53053,              0.3091,            0.021496,            0.023392,           0.0077219,             0.00708,             0.00708,             0.00708
                  75,            0.023224,            0.016285,           0.0036477,              0.6171,             0.51932,              0.5423,             0.31512,            0.021389,            0.023115,           0.0071146,             0.00704,             0.00704,             0.00704
                  76,            0.023042,            0.016945,           0.0033886,             0.62375,             0.49789,             0.53535,             0.31751,             0.02135,            0.023143,           0.0069499,               0.007,               0.007,               0.007
                  77,            0.023159,            0.016993,           0.0033397,             0.64495,             0.51086,             0.53317,              0.3152,             0.02143,            0.023141,           0.0074236,             0.00696,             0.00696,             0.00696
                  78,            0.022982,            0.017007,           0.0034178,             0.60174,             0.52114,             0.54108,             0.31836,            0.021249,            0.023023,           0.0069553,             0.00692,             0.00692,             0.00692
                  79,            0.023164,            0.016341,           0.0033961,             0.63762,             0.50708,             0.54232,             0.31942,            0.021211,            0.023223,           0.0066356,             0.00688,             0.00688,             0.00688
                  80,            0.022926,             0.01631,           0.0036889,             0.70789,             0.49254,             0.53201,             0.31657,            0.021244,            0.023171,           0.0070404,             0.00684,             0.00684,             0.00684
                  81,            0.023083,            0.016321,           0.0034589,             0.61747,             0.50072,             0.53498,             0.31776,            0.021107,            0.022976,           0.0069678,              0.0068,              0.0068,              0.0068
                  82,            0.022872,            0.016489,            0.003053,              0.6497,             0.49593,              0.5379,             0.31957,            0.020962,             0.02341,           0.0072819,             0.00676,             0.00676,             0.00676
                  83,            0.022718,            0.016519,           0.0030675,             0.66336,             0.48799,              0.5371,             0.32146,            0.020879,            0.023221,           0.0069366,             0.00672,             0.00672,             0.00672
                  84,            0.022451,            0.016005,           0.0030857,             0.72272,             0.49633,             0.53989,             0.31977,            0.020962,             0.02334,           0.0068375,             0.00668,             0.00668,             0.00668
                  85,            0.022465,             0.01623,           0.0029264,             0.67688,             0.52217,             0.53964,             0.32892,            0.020872,            0.023279,           0.0065452,             0.00664,             0.00664,             0.00664
                  86,            0.022459,            0.016511,           0.0033681,             0.58391,             0.52054,             0.53217,             0.31918,            0.020838,             0.02321,           0.0067854,              0.0066,              0.0066,              0.0066
                  87,            0.022491,            0.016306,           0.0031607,             0.55953,             0.53614,             0.53808,             0.32744,            0.020891,            0.023178,           0.0066984,             0.00656,             0.00656,             0.00656
                  88,            0.022266,            0.016178,           0.0031643,             0.66206,             0.49062,             0.53893,             0.32209,            0.020727,            0.022948,           0.0066713,             0.00652,             0.00652,             0.00652
                  89,            0.022163,            0.015758,            0.002955,             0.57174,              0.5324,             0.53521,             0.32315,            0.020689,            0.023091,           0.0065223,             0.00648,             0.00648,             0.00648
                  90,            0.022107,            0.015726,            0.002862,             0.57936,             0.54394,             0.54566,              0.3301,            0.020617,            0.023099,           0.0063235,             0.00644,             0.00644,             0.00644
                  91,            0.022226,            0.015671,           0.0029971,             0.66605,             0.50101,             0.55301,             0.33338,             0.02068,            0.023063,           0.0065489,              0.0064,              0.0064,              0.0064
                  92,            0.022447,            0.016215,            0.003174,              0.5634,             0.54811,             0.54796,             0.33063,            0.020694,             0.02325,           0.0067027,             0.00636,             0.00636,             0.00636
                  93,            0.022022,            0.015599,           0.0029319,             0.58114,             0.54826,             0.55098,             0.33052,            0.020697,             0.02318,           0.0062717,             0.00632,             0.00632,             0.00632
                  94,             0.02175,            0.016333,           0.0027126,             0.58092,             0.54513,             0.54554,             0.32946,            0.020661,            0.023072,           0.0064655,             0.00628,             0.00628,             0.00628
                  95,            0.021985,            0.015747,           0.0031562,             0.63982,             0.51411,             0.54778,             0.33064,            0.020503,            0.023102,           0.0065493,             0.00624,             0.00624,             0.00624
                  96,             0.02195,            0.015873,           0.0028997,             0.58238,             0.54316,             0.55448,             0.33298,            0.020546,            0.022918,           0.0064802,              0.0062,              0.0062,              0.0062
                  97,            0.021861,            0.015406,           0.0028228,             0.59568,             0.53784,             0.55027,             0.33522,            0.020489,            0.022816,             0.00669,             0.00616,             0.00616,             0.00616
                  98,            0.022151,            0.016268,           0.0028709,             0.68015,              0.5061,             0.54962,             0.33299,            0.020457,            0.022999,           0.0066472,             0.00612,             0.00612,             0.00612
                  99,            0.021707,            0.015279,           0.0027554,             0.64512,              0.5084,             0.54922,             0.33628,             0.02039,            0.023083,            0.006549,             0.00608,             0.00608,             0.00608
                 100,            0.021563,            0.015672,           0.0028365,             0.67617,             0.50264,             0.55206,             0.33749,            0.020376,            0.023142,           0.0067109,             0.00604,             0.00604,             0.00604
                 101,            0.021725,            0.015105,           0.0026635,              0.6842,             0.51511,             0.55466,             0.33713,            0.020386,            0.023029,           0.0066482,               0.006,               0.006,               0.006
                 102,            0.021488,            0.015305,           0.0027321,              0.6556,             0.50966,             0.55319,             0.33413,            0.020347,             0.02295,           0.0068485,             0.00596,             0.00596,             0.00596
                 103,             0.02124,            0.015696,           0.0026507,             0.65331,             0.50417,             0.55239,             0.33608,            0.020402,            0.023048,            0.006725,             0.00592,             0.00592,             0.00592
                 104,            0.021432,            0.015828,           0.0028321,             0.67083,             0.49342,             0.55109,              0.3336,            0.020378,            0.023129,           0.0067887,             0.00588,             0.00588,             0.00588
                 105,            0.021519,             0.01542,           0.0026339,             0.59468,             0.53481,             0.54582,              0.3291,            0.020334,             0.02315,           0.0066113,             0.00584,             0.00584,             0.00584
                 106,            0.021387,            0.015861,           0.0026399,             0.64216,             0.51861,             0.55088,             0.33215,            0.020258,            0.023113,           0.0065889,              0.0058,              0.0058,              0.0058
                 107,            0.021315,            0.015208,           0.0025632,             0.66941,             0.51341,             0.55123,             0.33177,            0.020281,            0.023055,           0.0067375,             0.00576,             0.00576,             0.00576
                 108,            0.021504,             0.01499,           0.0029313,             0.66417,             0.51341,             0.55225,             0.33547,            0.020302,            0.023072,           0.0066434,             0.00572,             0.00572,             0.00572
                 109,            0.021408,            0.015079,           0.0027156,              0.6439,             0.52949,             0.55114,             0.33381,             0.02029,            0.023132,             0.00646,             0.00568,             0.00568,             0.00568
                 110,            0.021291,            0.014895,           0.0025579,             0.64551,             0.52458,             0.55395,             0.33531,            0.020233,            0.023052,           0.0066626,             0.00564,             0.00564,             0.00564
                 111,            0.021128,            0.015469,           0.0022872,             0.66462,             0.52235,             0.55708,             0.33654,            0.020248,            0.023067,           0.0066562,              0.0056,              0.0056,              0.0056
                 112,              0.0207,            0.014807,           0.0025482,              0.6548,             0.52293,             0.55876,             0.33781,            0.020238,            0.022972,           0.0064842,             0.00556,             0.00556,             0.00556
