                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1523,                 4.4887,                 4.0877,                      0,                      0,                      0,                      0,                 4.4472,                 4.1465,                 3.7188,               0.070698,              0.0032558,              0.0032558
                      2,                 3.3523,                 3.4448,                 3.3728,                0.00323,                0.17778,                0.07187,                0.03223,                 3.8168,                  3.925,                 3.4263,               0.040665,              0.0065565,              0.0065565
                      3,                 2.7938,                 3.0447,                 2.7086,                0.69082,                0.08593,                 0.0701,                0.03157,                 2.4193,                 3.6204,                 2.4803,               0.010599,              0.0098242,              0.0098242
                      4,                  2.551,                 2.6168,                  2.386,                0.06636,                0.26212,                0.05421,                 0.0225,                  2.364,                    inf,                 2.7457,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4055,                 2.3911,                 2.2042,                0.80828,                 0.2306,                0.26261,                0.08317,                  2.187,                 2.2787,                  2.162,               0.009802,               0.009802,               0.009802
                      6,                 2.2542,                 2.1131,                 2.0128,                0.40991,                0.15966,                0.24913,                0.09364,                 2.2744,                 2.8597,                  2.195,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1467,                 1.9739,                 1.9218,                0.56563,                0.32818,                 0.3351,                  0.164,                 1.9182,                 1.8687,                 1.8451,               0.009703,               0.009703,               0.009703
                      8,                 2.0616,                 1.8338,                 1.8127,                0.58394,                0.36141,                 0.3257,                0.14075,                 1.9319,                 2.0628,                 1.8357,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0368,                 1.7537,                 1.8008,                0.38088,                0.41847,                0.44125,                0.17784,                 1.9519,                 1.9147,                 1.8078,               0.009604,               0.009604,               0.009604
                     10,                 1.9624,                 1.6183,                 1.6765,                0.67374,                0.40455,                0.47385,                 0.2284,                 1.7868,                 1.7999,                 1.7026,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9154,                 1.5698,                 1.6784,                0.38499,                0.25268,                0.27248,                0.11881,                 2.0096,                 2.6111,                 1.9024,               0.009505,               0.009505,               0.009505
                     12,                 1.8688,                 1.4795,                  1.626,                0.84986,                0.41512,                0.47312,                0.25673,                 1.6048,                 1.3901,                 1.5558,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8296,                 1.4274,                 1.6132,                0.80151,                0.47111,                0.52521,                0.27456,                 1.6744,                 1.3403,                 1.5893,               0.009406,               0.009406,               0.009406
                     14,                 1.8031,                 1.3737,                   1.56,                0.35254,                0.41326,                0.39052,                0.19581,                 1.7355,                 1.7552,                 1.6629,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7646,                 1.3419,                 1.5175,                0.83451,                0.56879,                0.59303,                0.32702,                 1.5128,                 1.2321,                 1.4831,               0.009307,               0.009307,               0.009307
                     16,                 1.7398,                 1.2696,                 1.5278,                0.62269,                 0.5502,                0.60472,                0.31693,                 1.5541,                 1.2632,                 1.5034,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7011,                 1.2154,                 1.4661,                0.49846,                0.57557,                0.55978,                0.30892,                 1.5151,                 1.1665,                 1.4552,               0.009208,               0.009208,               0.009208
                     18,                 1.6696,                 1.2046,                 1.4415,                 0.9335,                0.52013,                0.62607,                0.36789,                 1.4809,                 1.1798,                 1.4494,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6287,                 1.1456,                 1.4423,                0.63616,                0.58101,                0.59228,                0.33142,                 1.5602,                 1.1564,                 1.4858,               0.009109,               0.009109,               0.009109
                     20,                 1.6296,                 1.1325,                 1.4202,                0.86896,                0.55673,                0.63452,                0.38904,                 1.3837,                 1.0401,                 1.3843,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6026,                  1.099,                 1.4046,                0.55958,                0.48857,                0.49169,                0.24804,                 1.8122,                 1.9037,                 1.6655,                0.00901,                0.00901,                0.00901
                     22,                 1.6253,                 1.1095,                 1.4206,                0.91399,                0.55258,                0.63153,                0.37925,                 1.4428,                 1.0291,                 1.4238,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5888,                 1.0915,                 1.3898,                0.83621,                0.52506,                0.64454,                0.36416,                 1.4042,                 1.0167,                 1.4053,               0.008911,               0.008911,               0.008911
                     24,                 1.5625,                 1.0532,                 1.3665,                0.61494,                0.62314,                0.63997,                0.38697,                 1.4322,                0.99004,                  1.415,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5274,                 1.0291,                 1.3586,                0.63653,                0.56634,                0.63877,                0.39719,                 1.3691,                0.96655,                 1.3787,               0.008812,               0.008812,               0.008812
                     26,                 1.5084,                0.99629,                  1.345,                0.90143,                0.57391,                0.64413,                0.40325,                 1.4185,                0.96943,                 1.4039,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5003,                 1.0033,                 1.3645,                0.94202,                0.55094,                 0.6482,                0.40118,                 1.3117,                0.97906,                 1.3535,               0.008713,               0.008713,               0.008713
                     28,                 1.5038,                0.98404,                 1.3435,                0.70224,                0.66041,                0.70004,                0.42279,                 1.3909,                0.98991,                 1.3894,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.497,                0.96428,                 1.3174,                0.92086,                0.54422,                0.61585,                0.37803,                  1.381,                0.98102,                 1.3802,               0.008614,               0.008614,               0.008614
                     30,                 1.4597,                0.93854,                  1.309,                0.91547,                0.61023,                0.67473,                 0.4254,                 1.3716,                0.92307,                 1.3777,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4474,                0.95639,                 1.3355,                0.62341,                0.66371,                0.67306,                0.40576,                 1.3799,                0.91832,                 1.3653,               0.008515,               0.008515,               0.008515
                     32,                 1.4672,                0.93483,                 1.3047,                0.62751,                0.69037,                0.68897,                0.42662,                 1.2725,                0.86369,                 1.3073,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4486,                0.93522,                 1.3058,                0.65554,                0.66283,                0.68885,                0.43889,                 1.3162,                 0.9867,                 1.3351,               0.008416,               0.008416,               0.008416
                     34,                 1.4177,                0.89326,                 1.2796,                0.90245,                0.60879,                 0.6869,                0.42393,                 1.3323,                0.89916,                 1.3536,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4422,                0.89555,                 1.2748,                0.69287,                0.61871,                0.68351,                0.43886,                  1.288,                0.90298,                 1.3217,               0.008317,               0.008317,               0.008317
                     36,                  1.361,                0.87357,                 1.2682,                0.72239,                0.66665,                0.70314,                0.46304,                 1.2926,                0.87579,                 1.3143,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4117,                0.89327,                 1.2721,                0.76888,                0.69776,                0.72973,                0.46544,                 1.2823,                  0.834,                 1.2971,               0.008218,               0.008218,               0.008218
                     38,                 1.3778,                0.86272,                 1.2546,                0.65047,                0.64576,                0.69705,                0.44566,                 1.3143,                0.80567,                 1.3218,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3859,                0.85761,                 1.2661,                0.64571,                0.62165,                0.67871,                0.44106,                 1.2432,                0.84774,                 1.2874,               0.008119,               0.008119,               0.008119
                     40,                 1.3452,                0.83048,                 1.2479,                0.67595,                0.62049,                0.70626,                0.43834,                 1.3036,                 0.8142,                 1.3004,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3643,                0.84495,                  1.266,                0.70991,                0.70295,                0.72201,                0.46928,                  1.214,                0.76472,                 1.2678,                0.00802,                0.00802,                0.00802
                     42,                 1.3475,                 0.8172,                 1.2491,                0.93245,                 0.6414,                0.75336,                0.44381,                 1.2566,                0.80899,                 1.2849,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.332,                0.81582,                 1.2385,                0.61672,                0.69469,                0.69599,                0.45668,                 1.2111,                0.79288,                 1.2722,               0.007921,               0.007921,               0.007921
                     44,                 1.3438,                0.82043,                 1.2245,                0.79827,                0.63335,                  0.702,                 0.4609,                 1.2204,                0.80595,                 1.2644,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3244,                0.79614,                 1.2307,                0.62827,                0.69506,                0.72483,                0.44219,                 1.2306,                 0.7733,                 1.2693,               0.007822,               0.007822,               0.007822
                     46,                 1.3427,                0.81885,                 1.2394,                0.72614,                 0.6342,                0.72651,                 0.4336,                  1.259,                0.79972,                  1.287,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3053,                0.77803,                 1.2232,                0.73055,                0.70901,                0.74009,                0.49219,                  1.242,                0.76807,                 1.2692,               0.007723,               0.007723,               0.007723
                     48,                 1.2941,                0.78192,                 1.2147,                0.69434,                0.77133,                0.76442,                  0.498,                 1.2602,                0.74551,                 1.2893,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3179,                 0.7873,                 1.2052,                0.66482,                0.71068,                 0.7416,                0.45669,                 1.3606,                0.83691,                 1.3367,               0.007624,               0.007624,               0.007624
