                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3048,                 4.5047,                  4.036,                      0,                      0,                      0,                      0,                 4.4041,                 4.3201,                 3.7025,               0.070698,              0.0032558,              0.0032558
                      1,                 3.5586,                 3.7818,                 3.5516,                0.00258,                0.11556,                0.06563,                0.01951,                 4.0641,                 4.1069,                 3.5082,               0.040665,              0.0065565,              0.0065565
                      2,                 2.9372,                 3.2727,                 2.9182,                0.73931,                0.05318,                 0.0481,                0.02017,                  2.574,                 3.4413,                 2.5997,               0.010599,              0.0098242,              0.0098242
                      3,                 2.7056,                 2.9466,                 2.5395,                0.82676,                0.16109,                0.16939,                0.06329,                 2.2757,                 4.9776,                 2.2998,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.4424,                 2.4963,                  2.233,                0.71613,                0.34252,                0.24933,                0.11493,                 2.0905,                 6.9387,                 2.1101,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3007,                 2.2012,                 2.0427,                0.79735,                0.18778,                0.20237,                0.09519,                 2.0911,                 2.5853,                 2.0097,               0.009802,               0.009802,               0.009802
                      6,                 2.1784,                 1.9904,                 1.9008,                 0.5902,                0.29509,                0.27487,                0.13892,                 1.8859,                 2.5109,                 1.8274,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0905,                 1.8285,                 1.8343,                0.87284,                0.27699,                0.36962,                0.17211,                 1.8382,                 1.7427,                 1.7352,               0.009703,               0.009703,               0.009703
                      8,                 2.0082,                 1.7484,                 1.7388,                0.44771,                0.21507,                0.26544,                0.12059,                 2.0924,                  2.523,                 1.9672,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9442,                 1.5901,                 1.6894,                0.41016,                0.29379,                0.34617,                 0.1555,                 1.9174,                 2.0721,                 1.8365,               0.009604,               0.009604,               0.009604
                     10,                 1.9388,                 1.5676,                 1.6728,                0.87718,                0.38428,                0.49979,                0.26707,                 1.6288,                 1.4761,                 1.5824,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8305,                 1.4304,                 1.5993,                0.89239,                0.33985,                0.48936,                 0.2392,                 1.7738,                 1.4915,                 1.6433,               0.009505,               0.009505,               0.009505
                     12,                 1.8611,                  1.437,                 1.6289,                0.39852,                0.46731,                0.47657,                0.26879,                 1.6034,                 1.3879,                 1.5571,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7835,                 1.3238,                 1.5257,                0.71944,                0.43482,                0.44627,                0.24123,                 1.7159,                 1.3518,                 1.5877,               0.009406,               0.009406,               0.009406
                     14,                 1.7563,                 1.2938,                 1.5139,                0.87534,                0.53649,                0.60413,                0.33735,                 1.5122,                 1.1565,                 1.4723,              0.0093565,              0.0093565,              0.0093565
