               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11238,            0.074028,            0.064104,             0.60915,            0.047892,           0.0037977,          0.00082618,            0.099682,            0.094017,             0.05799,             0.00331,             0.00331,             0.07021
                   1,             0.10331,            0.071409,            0.053529,             0.27526,            0.014144,           0.0052625,           0.0012201,            0.096153,             0.18244,            0.067866,           0.0066296,           0.0066296,             0.04033
                   2,            0.098567,            0.070699,            0.050193,             0.56644,             0.12882,             0.02206,           0.0053502,            0.085989,            0.099341,            0.051977,           0.0099478,           0.0099478,            0.010448
                   3,            0.093507,            0.071219,            0.046477,             0.66002,             0.12073,            0.042056,             0.00991,             0.08504,             0.11054,            0.049379,            0.009995,            0.009995,            0.009995
                   4,            0.089109,            0.071196,            0.038441,             0.72895,            0.091042,             0.04984,            0.014484,            0.085699,             0.10085,            0.050332,            0.009995,            0.009995,            0.009995
                   5,            0.086324,            0.070055,            0.033548,             0.74481,             0.18575,             0.17004,             0.06232,            0.074721,            0.099848,             0.03295,           0.0099911,           0.0099911,           0.0099911
                   6,            0.084579,            0.065858,            0.030184,             0.70912,             0.18907,             0.15606,            0.054205,            0.077753,            0.091092,            0.028496,           0.0099861,           0.0099861,           0.0099861
                   7,            0.081958,            0.065107,            0.027366,             0.78252,             0.21381,             0.20305,            0.073868,            0.072724,            0.088893,            0.025429,             0.00998,             0.00998,             0.00998
                   8,            0.081116,            0.065576,            0.026336,             0.77687,             0.23745,             0.21863,            0.083305,            0.070225,            0.087128,            0.022906,           0.0099728,           0.0099728,           0.0099728
                   9,            0.079309,            0.061927,            0.022392,             0.76013,             0.24798,             0.23202,            0.094053,            0.067477,            0.083341,            0.019481,           0.0099645,           0.0099645,           0.0099645
                  10,             0.07795,            0.060062,            0.020712,             0.80045,               0.265,              0.2832,             0.10947,            0.065624,            0.079835,             0.01757,           0.0099551,           0.0099551,           0.0099551
                  11,            0.076797,            0.061308,            0.019835,             0.81945,             0.27076,             0.31195,             0.14151,            0.063801,            0.081741,            0.017928,           0.0099446,           0.0099446,           0.0099446
                  12,            0.075427,            0.057769,            0.018199,             0.83399,              0.2709,             0.32696,             0.14471,             0.06336,            0.078965,            0.019602,            0.009933,            0.009933,            0.009933
                  13,            0.073997,            0.058113,            0.017036,             0.84157,             0.25466,             0.31118,             0.14254,            0.063234,            0.080795,            0.022338,           0.0099203,           0.0099203,           0.0099203
                  14,            0.073567,            0.057955,            0.016897,             0.77516,             0.30663,             0.34561,             0.16578,            0.061692,            0.076613,            0.016742,           0.0099065,           0.0099065,           0.0099065
                  15,             0.07318,            0.056583,            0.015156,             0.69717,              0.3613,             0.34887,             0.15731,            0.061509,            0.077361,            0.016446,           0.0098916,           0.0098916,           0.0098916
                  16,            0.071542,            0.056396,            0.014532,             0.75819,             0.32912,             0.34043,             0.15717,            0.061071,            0.076458,            0.016738,           0.0098757,           0.0098757,           0.0098757
                  17,            0.071058,            0.055791,            0.014823,             0.83464,             0.34237,             0.37941,             0.17882,            0.059872,            0.073304,            0.014361,           0.0098586,           0.0098586,           0.0098586
                  18,            0.070779,            0.057089,            0.014027,             0.76579,             0.37192,             0.38457,              0.1914,            0.058651,            0.074617,            0.013825,           0.0098405,           0.0098405,           0.0098405
                  19,            0.069998,            0.055918,            0.013182,             0.82491,             0.36369,             0.39003,             0.19285,            0.057778,            0.073634,            0.015903,           0.0098213,           0.0098213,           0.0098213
                  20,            0.070007,            0.054067,            0.012866,             0.67606,             0.37026,             0.39196,             0.19018,            0.059133,            0.077097,            0.015002,           0.0098011,           0.0098011,           0.0098011
                  21,             0.06925,            0.053225,            0.012336,             0.73694,             0.34641,             0.39135,             0.19798,            0.057537,            0.076482,            0.014855,           0.0097798,           0.0097798,           0.0097798
                  22,            0.068675,            0.053614,            0.011879,              0.7894,             0.38946,             0.41174,             0.21248,            0.056629,            0.073424,            0.012734,           0.0097574,           0.0097574,           0.0097574
                  23,            0.068355,            0.055091,            0.011991,             0.70066,             0.40675,             0.42764,             0.22446,            0.055732,            0.071415,            0.011735,            0.009734,            0.009734,            0.009734
                  24,            0.066899,             0.05337,            0.011501,             0.67151,              0.3939,             0.41104,             0.21382,             0.05614,            0.071836,            0.012922,           0.0097095,           0.0097095,           0.0097095
                  25,            0.066798,            0.053831,            0.010408,               0.683,             0.38665,              0.4189,             0.20481,            0.055592,            0.071533,            0.013009,            0.009684,            0.009684,            0.009684
