               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11045,            0.072187,            0.063611,             0.67808,            0.045276,           0.0062741,           0.0014243,            0.097775,            0.090656,            0.057666,             0.00331,             0.00331,             0.07021
                   1,             0.10122,            0.070105,            0.053098,             0.21776,             0.02114,           0.0085306,            0.001671,            0.096528,            0.090953,            0.056731,           0.0066296,           0.0066296,             0.04033
                   2,            0.096345,            0.068984,            0.049847,             0.50367,            0.067079,            0.020379,           0.0051582,            0.088571,             0.10235,            0.052232,           0.0099478,           0.0099478,            0.010448
                   3,            0.090683,            0.069617,            0.045241,             0.52026,             0.16159,            0.043615,            0.012375,            0.084034,            0.098297,            0.048089,            0.009995,            0.009995,            0.009995
                   4,            0.085975,            0.068734,            0.037669,             0.69706,             0.12703,            0.093694,            0.027809,             0.08157,            0.094312,            0.045359,            0.009995,            0.009995,            0.009995
                   5,            0.083328,            0.067063,            0.031313,             0.77684,             0.16617,             0.17753,            0.075343,            0.071889,            0.091582,            0.035221,           0.0099911,           0.0099911,           0.0099911
                   6,            0.081787,            0.064443,            0.029758,             0.75745,             0.20278,             0.18842,            0.070196,            0.072765,            0.090794,             0.02662,           0.0099861,           0.0099861,           0.0099861
                   7,             0.07903,            0.063093,            0.026458,             0.76155,             0.22116,             0.20448,            0.079562,            0.068862,             0.08812,            0.022953,             0.00998,             0.00998,             0.00998
                   8,            0.077399,            0.062357,            0.023859,             0.76281,             0.24937,             0.24233,             0.10167,            0.066719,            0.083418,            0.024335,           0.0099728,           0.0099728,           0.0099728
                   9,            0.075763,            0.059465,            0.021449,             0.80515,             0.24742,             0.26497,             0.11322,            0.063931,            0.079895,            0.021347,           0.0099645,           0.0099645,           0.0099645
                  10,            0.074908,            0.058594,            0.020591,             0.82045,             0.25708,             0.28605,             0.12211,            0.063751,            0.078731,            0.021021,           0.0099551,           0.0099551,           0.0099551
                  11,            0.073994,            0.059615,             0.01998,             0.84186,             0.25332,             0.30179,             0.13442,            0.063519,            0.080591,            0.021108,           0.0099446,           0.0099446,           0.0099446
                  12,            0.072168,             0.05577,            0.017858,             0.74653,             0.26451,             0.30406,              0.1299,            0.062202,            0.080189,            0.023525,            0.009933,            0.009933,            0.009933
                  13,            0.070566,            0.056112,            0.016855,             0.77803,              0.2839,             0.34561,             0.15872,            0.058955,            0.075094,            0.019485,           0.0099203,           0.0099203,           0.0099203
                  14,            0.070087,            0.056182,            0.016668,             0.75726,             0.31877,             0.34009,             0.16032,             0.05918,            0.076107,            0.018826,           0.0099065,           0.0099065,           0.0099065
                  15,            0.069995,            0.055044,            0.015365,             0.80765,             0.30378,             0.36328,             0.16206,             0.05857,            0.073792,            0.017445,           0.0098916,           0.0098916,           0.0098916
                  16,            0.068178,            0.054476,            0.014606,             0.77421,             0.34113,             0.35702,             0.17071,            0.058132,            0.074919,            0.017754,           0.0098757,           0.0098757,           0.0098757
                  17,            0.067537,            0.053734,            0.014288,             0.78268,             0.36479,             0.38245,             0.18068,            0.056824,            0.070881,            0.014026,           0.0098586,           0.0098586,           0.0098586
                  18,            0.067145,             0.05492,            0.013721,             0.82338,             0.35995,             0.38381,             0.19504,            0.055693,            0.071477,             0.01604,           0.0098405,           0.0098405,           0.0098405
                  19,            0.066317,            0.053745,            0.013575,             0.79089,             0.36273,             0.38825,             0.18711,            0.056854,            0.071516,             0.01625,           0.0098213,           0.0098213,           0.0098213
                  20,            0.066493,             0.05207,            0.012402,             0.68689,             0.37788,             0.40026,             0.19036,            0.054943,            0.071323,            0.018251,           0.0098011,           0.0098011,           0.0098011
                  21,            0.065902,            0.051129,            0.013131,             0.73941,             0.37933,             0.42224,             0.20501,            0.055668,            0.072624,            0.013798,           0.0097798,           0.0097798,           0.0097798
