                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1788,                 5.5645,                 4.0703,                 4.0097,                 7.6646,                 3.8058,                0.00144,                0.04185,                0.00089,                 0.0002,                 3.7849,                 4.9217,                 3.4821,                 3.4043,                 5.4719,                 2.9436,                0.07009,              0.0033233,              0.0033233
                      2,                  3.635,                 4.3662,                 2.9536,                 3.3654,                 4.6695,                 2.3666,                0.00376,                0.03571,                 0.0028,                0.00098,                 3.3082,                 11.115,                 2.5777,                 2.9184,                 12.732,                 2.2221,               0.040057,              0.0066237,              0.0066237
                      3,                 3.1111,                 3.7119,                 2.3403,                 2.9009,                 3.9313,                 1.9403,                0.04757,                0.05603,                0.01685,                0.00463,                 3.0028,                  6.896,                 2.3141,                 2.8208,                 6.9226,                 2.0714,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.7851,                 3.2914,                 2.0184,                 2.6666,                 3.5763,                 1.7042,                0.52708,                0.08008,                0.02648,                0.00893,                 2.8838,                 3.6263,                 2.1331,                 2.5409,                 4.0613,                 1.8113,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4982,                 2.9116,                   1.82,                 2.4228,                 3.2345,                 1.5429,                0.65387,                0.09791,                 0.0758,                0.03327,                 2.4001,                 3.0399,                 1.9304,                 2.2258,                 3.4224,                 1.6772,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.3365,                 2.6325,                 1.7177,                  2.314,                 3.0415,                 1.4881,                 0.6183,                0.14639,                0.11776,                0.05622,                 2.1883,                 2.5983,                 1.7544,                 2.0462,                 2.9806,                 1.5427,               0.009802,               0.009802,               0.009802
                      7,                 2.2038,                 2.3973,                 1.6111,                 2.2157,                 2.8201,                 1.4128,                0.56252,                0.16221,                0.12488,                0.06011,                 2.1789,                 2.5529,                 1.7134,                 2.0362,                 2.9993,                 1.5145,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.0972,                 2.1681,                 1.5348,                 2.1432,                 2.5813,                  1.367,                0.62296,                0.18996,                0.14602,                0.07019,                 1.9755,                 2.2393,                 1.6171,                 1.9306,                 2.7109,                 1.4536,               0.009703,               0.009703,               0.009703
                      9,                 2.0631,                 2.1634,                 1.5316,                 2.1225,                 2.5917,                 1.3609,                0.66421,                0.17967,                0.15378,                0.07718,                 1.9697,                 2.2391,                  1.619,                 1.8792,                 2.6759,                  1.426,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.979,                 1.9844,                 1.4678,                 2.0527,                 2.3811,                 1.3149,                0.60547,                0.20076,                0.18935,                0.09413,                 1.9546,                 2.0371,                 1.5672,                 1.9328,                  2.414,                 1.4363,               0.009604,               0.009604,               0.009604
                     11,                 1.9361,                 1.9113,                 1.4378,                 2.0363,                 2.3265,                 1.2974,                 0.6717,                0.22631,                0.21667,                0.11574,                 1.8565,                 1.9603,                 1.4966,                 1.8192,                 2.4059,                   1.37,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.9066,                 1.8266,                 1.4149,                 2.0071,                 2.2078,                 1.2864,                0.55873,                0.22046,                0.22156,                  0.115,                 1.8726,                 1.9712,                 1.5436,                 1.8559,                 2.3352,                 1.4107,               0.009505,               0.009505,               0.009505
                     13,                 1.8639,                 1.7776,                  1.387,                 1.9736,                  2.174,                 1.2741,                0.69224,                0.24944,                0.26405,                0.14542,                 1.7796,                 1.7709,                 1.4567,                 1.7861,                 2.1103,                 1.3531,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.8427,                 1.7611,                 1.3955,                 1.9624,                 2.1359,                 1.2764,                0.61123,                0.25819,                0.26585,                0.14685,                 1.7408,                 1.8085,                 1.4456,                 1.7611,                 2.2155,                 1.3439,               0.009406,               0.009406,               0.009406
                     15,                 1.8085,                 1.7057,                 1.3767,                 1.9288,                 2.0932,                 1.2624,                0.72272,                0.24782,                0.28957,                0.16292,                 1.7668,                 1.7645,                 1.4472,                 1.7478,                 2.1609,                 1.3264,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7813,                 1.6287,                 1.3485,                 1.9216,                 1.9931,                 1.2352,                0.67005,                0.27619,                0.28398,                0.15273,                 1.7325,                 1.7677,                 1.4373,                 1.7559,                 2.0953,                 1.3289,               0.009307,               0.009307,               0.009307
