                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1693,                 5.6247,                 4.1226,                 4.0027,                 7.9783,                 3.8989,                0.00187,                0.04297,                0.00131,                0.00031,                 3.8634,                  4.937,                 3.6424,                 3.5479,                  5.817,                 3.1544,                0.07009,              0.0033233,              0.0033233
                      2,                 3.7259,                 4.4844,                 3.0493,                 3.4651,                  4.813,                 2.4529,                0.00482,                0.11645,                 0.0056,                0.00159,                 3.2037,                 4.1649,                  2.734,                 2.9531,                  4.447,                 2.3179,               0.040057,              0.0066237,              0.0066237
                      3,                  3.142,                 3.7652,                 2.3683,                 2.9172,                 4.0078,                 1.9389,                0.15716,                0.09068,                0.01467,                0.00499,                   2.84,                 3.7445,                 2.2368,                 2.4703,                 4.1022,                 1.9069,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.7696,                 3.3055,                 2.0176,                 2.6246,                 3.5996,                 1.6977,                0.15348,                0.09009,                0.04393,                0.01559,                 2.5875,                  3.762,                  2.044,                 2.3323,                 4.3031,                 1.7647,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.463,                   2.89,                 1.7965,                 2.3873,                 3.2378,                 1.5494,                0.49022,                0.11593,                0.05778,                0.02317,                 2.3901,                 2.8451,                 1.8815,                 2.1776,                  3.351,                 1.6314,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.3148,                 2.5966,                 1.6816,                 2.2922,                  2.969,                 1.4692,                0.59683,                0.14585,                0.10357,                 0.0488,                  2.175,                 2.5071,                 1.7162,                 2.0202,                 2.9036,                 1.5286,               0.009802,               0.009802,               0.009802
                      7,                 2.1775,                 2.3625,                 1.5798,                 2.1826,                  2.746,                  1.394,                0.54732,                  0.162,                0.11202,                0.05326,                 2.0492,                 2.5479,                 1.6769,                 1.9604,                 2.9082,                 1.5206,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.1116,                 2.2186,                 1.5696,                 2.1386,                 2.6394,                  1.401,                0.59733,                0.19399,                0.17033,                0.08755,                  2.007,                 2.3031,                 1.6416,                 1.8892,                 2.6493,                 1.4584,               0.009703,               0.009703,               0.009703
                      9,                 2.0429,                 2.0615,                 1.5036,                 2.1106,                 2.4546,                 1.3474,                0.67027,                0.18126,                0.16796,                0.08361,                  1.918,                 2.2459,                 1.5875,                 1.8738,                 2.7703,                 1.4333,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9885,                 2.0001,                   1.47,                 2.0682,                 2.3815,                 1.3248,                0.65836,                0.19237,                0.17643,                0.09159,                  1.979,                 2.1073,                 1.5592,                 1.9574,                 2.5486,                 1.4191,               0.009604,               0.009604,               0.009604
                     11,                 1.9299,                 1.9146,                 1.4307,                 2.0145,                 2.3052,                  1.299,                0.66513,                0.18598,                0.17627,                0.09053,                 1.9867,                  2.159,                 1.5713,                   1.95,                   2.49,                 1.4311,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8976,                 1.8455,                 1.4156,                 1.9843,                 2.2124,                 1.2867,                0.50471,                0.22015,                0.22225,                0.12251,                 1.8408,                 2.0622,                 1.5017,                 1.8167,                 2.4005,                 1.3833,               0.009505,               0.009505,               0.009505
                     13,                 1.8539,                  1.814,                 1.3977,                 1.9628,                 2.2031,                 1.2802,                0.62415,                0.25283,                0.27231,                0.14888,                 1.7732,                 1.7596,                 1.4736,                 1.7519,                 2.0964,                 1.3526,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.8409,                 1.7379,                 1.3773,                 1.9637,                 2.1082,                 1.2576,                0.70186,                0.25988,                0.27776,                0.15506,                 1.7306,                 1.7361,                 1.4265,                 1.7265,                 2.1095,                 1.3155,               0.009406,               0.009406,               0.009406
                     15,                 1.8101,                 1.6966,                 1.3662,                 1.9352,                 2.0716,                 1.2627,                0.48215,                0.24244,                0.26807,                0.14664,                 1.7745,                 1.7608,                 1.4414,                 1.7898,                 2.1054,                 1.3447,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7912,                 1.7085,                 1.3525,                 1.9146,                 2.0586,                 1.2411,                0.66747,                0.25942,                0.27914,                0.15447,                 1.7135,                 1.6764,                 1.4077,                 1.7136,                 2.0504,                 1.3047,               0.009307,               0.009307,               0.009307
                     17,                 1.7656,                 1.6449,                 1.3513,                 1.9034,                  2.008,                 1.2405,                0.51417,                0.28137,                0.29478,                0.15768,                 1.7168,                 1.6193,                 1.4174,                 1.7495,                 1.9604,                 1.3264,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.7529,                 1.5857,                 1.3209,                 1.8876,                 1.9259,                 1.2197,                0.56647,                0.29559,                0.27813,                0.15568,                 1.7255,                 1.6488,                 1.4165,                 1.7675,                 1.9636,                 1.3318,               0.009208,               0.009208,               0.009208
                     19,                 1.7363,                 1.5866,                 1.3218,                 1.8879,                 1.9279,                 1.2241,                0.54307,                0.30074,                0.32459,                0.18476,                 1.6535,                 1.5632,                 1.3791,                 1.6938,                 1.8915,                 1.3005,              0.0091585,              0.0091585,              0.0091585
                     20,                  1.719,                 1.5378,                 1.3023,                 1.8731,                 1.8573,                 1.2087,                 0.4988,                 0.3028,                0.32991,                0.18969,                 1.6272,                 1.6441,                 1.3603,                 1.6867,                 1.9501,                 1.2862,               0.009109,               0.009109,               0.009109
                     21,                 1.6969,                  1.532,                 1.3045,                 1.8494,                 1.8742,                 1.2085,                0.50738,                0.30902,                0.31985,                0.18273,                 1.6578,                 1.4899,                 1.3924,                 1.6968,                 1.8091,                 1.3086,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6697,                  1.487,                 1.2923,                 1.8383,                 1.7996,                 1.2095,                 0.6565,                0.30632,                0.33632,                0.19296,                 1.6295,                 1.4619,                 1.3716,                 1.6867,                 1.8318,                 1.3012,                0.00901,                0.00901,                0.00901
                     23,                 1.6622,                 1.4919,                 1.2703,                 1.8297,                 1.7665,                 1.1839,                0.47474,                0.32997,                0.34863,                0.20146,                 1.6074,                  1.457,                 1.3444,                 1.6396,                    1.7,                 1.2649,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6315,                 1.4299,                 1.2752,                 1.7965,                 1.7561,                 1.1922,                0.46955,                0.34471,                0.35444,                0.20705,                  1.591,                 1.4778,                 1.3347,                 1.6671,                 1.7314,                 1.2673,               0.008911,               0.008911,               0.008911
                     25,                 1.6272,                 1.4477,                 1.2719,                 1.7943,                 1.7696,                 1.1942,                0.52788,                0.33039,                0.35618,                0.20489,                 1.6213,                 1.4426,                 1.3534,                 1.7008,                 1.6943,                 1.2845,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6118,                 1.3962,                 1.2598,                 1.7948,                 1.7094,                 1.1818,                0.56982,                0.36527,                0.37316,                0.22138,                 1.5766,                 1.3852,                 1.3306,                 1.6224,                 1.6363,                 1.2561,               0.008812,               0.008812,               0.008812
