                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1542,                  5.646,                 4.1196,                  3.993,                 7.9939,                 3.8897,                0.13588,                0.00677,                0.00102,                0.00025,                 3.8761,                 5.6199,                 3.5997,                 3.4607,                 6.0084,                 3.0512,                0.07009,              0.0033233,              0.0033233
                      2,                 3.7118,                   4.45,                 3.0168,                 3.4493,                 4.7572,                 2.4292,                0.13718,                 0.0226,                0.00169,                0.00046,                 3.6005,                 8.5638,                 2.8266,                 3.1079,                 8.6073,                 2.2782,               0.040057,              0.0066237,              0.0066237
                      3,                 3.1663,                 3.8188,                 2.3909,                 2.9714,                 4.0512,                  1.986,                0.55526,                  0.067,                0.01165,                0.00364,                 2.8901,                 3.6084,                 2.3575,                 2.6672,                 4.0104,                 2.0638,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.7639,                 3.2332,                 2.0132,                 2.6274,                 3.5468,                 1.7033,                0.42346,                0.12302,                0.04426,                0.01766,                 2.5452,                 3.3969,                 2.0343,                 2.3399,                 3.8316,                 1.7713,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4768,                 2.7872,                 1.7907,                 2.4115,                 3.1548,                 1.5364,                0.59049,                0.08382,                0.08513,                0.03712,                 2.2914,                 2.7388,                  1.847,                 2.1223,                 3.0904,                 1.6003,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.3124,                 2.5748,                 1.7024,                 2.2965,                 2.9602,                 1.4699,                0.52192,                0.11727,                0.08396,                0.03574,                  2.384,                 2.8243,                 1.8558,                 2.2664,                 3.1863,                 1.6311,               0.009802,               0.009802,               0.009802
                      7,                  2.166,                 2.3834,                 1.6168,                 2.1776,                 2.8019,                 1.4244,                0.60669,                0.15921,                0.11335,                0.05298,                 2.0643,                 2.4121,                 1.6644,                 1.9667,                 2.7944,                 1.4836,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.0834,                 2.2369,                 1.5684,                  2.138,                 2.6785,                 1.3986,                0.70937,                 0.1726,                0.15345,                0.07853,                 2.0737,                 2.4013,                 1.6567,                 1.9915,                   2.82,                 1.4759,               0.009703,               0.009703,               0.009703
                      9,                 2.0477,                 2.1222,                 1.5146,                 2.1113,                 2.5318,                 1.3463,                0.63071,                0.19168,                0.17112,                0.08578,                 1.9366,                 2.0446,                 1.5773,                 1.8656,                 2.5142,                  1.421,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9958,                 2.0194,                  1.482,                 2.0749,                 2.4045,                 1.3322,                0.54445,                0.22043,                0.21346,                0.11185,                 1.8623,                 2.0262,                 1.5143,                 1.8342,                 2.4146,                 1.3796,               0.009604,               0.009604,               0.009604
