                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1504,                 5.2299,                 3.7977,                0.00119,                0.02983,                 0.0007,                0.00018,                 3.8891,                    inf,                 3.5436,                0.07009,              0.0033233,              0.0033233
                      2,                 3.5017,                 4.1065,                 2.7425,                0.49288,                0.07285,                0.01625,                 0.0051,                 3.1214,                 6.4034,                  2.522,               0.040057,              0.0066237,              0.0066237
                      3,                 2.9742,                 3.5051,                 2.2119,                0.44543,                0.05835,                0.02253,                0.00705,                 3.0412,                 3.3958,                  2.312,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.6791,                 3.1054,                 1.9457,                0.31124,                0.15456,                0.08267,                0.03344,                 2.5019,                 3.5251,                 1.9399,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4209,                 2.7243,                 1.7606,                 0.5441,                0.16116,                0.12867,                0.05424,                 2.3958,                 2.6206,                 1.8704,               0.009802,               0.009802,               0.009802
                      6,                 2.2545,                 2.4646,                 1.6692,                0.64055,                0.17846,                0.16509,                0.07916,                 2.0921,                 2.4736,                 1.7151,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1505,                 2.2825,                 1.5886,                 0.6966,                0.18512,                0.17133,                0.08093,                 2.1134,                 2.3086,                  1.711,               0.009703,               0.009703,               0.009703
                      8,                   2.05,                 2.0805,                  1.515,                0.72571,                 0.2201,                0.22701,                0.11375,                 1.9217,                 2.1032,                 1.6007,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0191,                 2.1066,                 1.5088,                0.60285,                0.24164,                0.23825,                0.12292,                 1.8971,                  2.025,                 1.5723,               0.009604,               0.009604,               0.009604
                     10,                 1.9353,                 1.9265,                 1.4528,                0.72893,                0.21373,                0.23984,                0.11632,                 2.0384,                 2.0805,                 1.6429,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.908,                 1.8634,                  1.422,                 0.5658,                0.27208,                0.28963,                0.15008,                 1.8268,                 1.8015,                 1.5128,               0.009505,               0.009505,               0.009505
                     12,                 1.8896,                 1.7936,                 1.4071,                0.62031,                0.30161,                0.31324,                0.16506,                 1.7963,                 1.8023,                 1.5005,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8439,                 1.7435,                 1.3787,                0.64974,                0.32273,                 0.3248,                0.16729,                  1.782,                 1.6805,                 1.4698,               0.009406,               0.009406,               0.009406
                     14,                 1.8202,                  1.732,                 1.3859,                0.62096,                0.32619,                0.35465,                0.18831,                  1.737,                 1.5981,                 1.4414,              0.0093565,              0.0093565,              0.0093565
