               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11017,            0.052863,            0.070701,             0.20341,            0.024869,           0.0017591,          0.00038915,               0.104,             0.10754,            0.072147,             0.07009,           0.0033233,           0.0033233
                   1,            0.099684,            0.049867,            0.056673,             0.27087,            0.069284,           0.0024538,           0.0008155,            0.096521,            0.092849,             0.05683,            0.040057,           0.0066237,           0.0066237
                   2,            0.096249,            0.048413,            0.052909,              0.2037,            0.043544,           0.0022411,           0.0005295,            0.099123,             0.18278,            0.055845,           0.0099915,           0.0098911,           0.0098911
                   3,            0.092912,            0.049257,            0.050103,             0.42405,            0.082842,            0.015465,           0.0044263,            0.087873,             0.12456,            0.054934,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089438,            0.049115,            0.047035,             0.28947,            0.020514,           0.0096798,           0.0027435,            0.092573,             0.18892,            0.056163,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086609,            0.049286,            0.042478,             0.60253,            0.097285,            0.044742,             0.01477,            0.081482,            0.093823,            0.040524,            0.009802,            0.009802,            0.009802
                   6,             0.08423,            0.048236,             0.03845,             0.64701,             0.12921,            0.071298,            0.024422,            0.076816,            0.094426,            0.034297,           0.0097525,           0.0097525,           0.0097525
                   7,             0.08129,             0.04837,            0.035142,             0.65002,             0.14641,            0.076826,            0.025851,            0.075123,            0.089719,             0.03492,            0.009703,            0.009703,            0.009703
                   8,            0.080081,            0.047389,            0.033085,             0.65443,             0.17813,             0.09914,            0.034134,            0.076809,            0.095618,            0.034932,           0.0096535,           0.0096535,           0.0096535
                   9,            0.078666,            0.047127,            0.030714,             0.74875,             0.14016,             0.13009,            0.048655,            0.072746,            0.092286,            0.031644,            0.009604,            0.009604,            0.009604
                  10,            0.077048,            0.045677,            0.028693,             0.72166,             0.17775,             0.13817,            0.050771,            0.072452,            0.084813,             0.02819,           0.0095545,           0.0095545,           0.0095545
                  11,            0.076814,            0.045176,            0.026321,             0.69521,             0.18313,             0.13888,            0.050338,            0.071863,            0.087078,            0.025905,            0.009505,            0.009505,            0.009505
                  12,             0.07575,            0.044787,            0.026509,             0.72478,             0.19268,             0.15408,            0.060728,             0.07031,            0.085671,            0.026736,           0.0094555,           0.0094555,           0.0094555
                  13,            0.075207,            0.044633,            0.024932,             0.78019,             0.20035,              0.2077,            0.089346,            0.068686,            0.087271,            0.024091,            0.009406,            0.009406,            0.009406
                  14,             0.07315,            0.043987,            0.022831,             0.75911,             0.18334,             0.18489,            0.072107,            0.068731,            0.086909,            0.022672,           0.0093565,           0.0093565,           0.0093565
                  15,            0.073002,              0.0436,            0.023636,             0.77597,             0.19417,             0.19932,            0.083536,            0.068126,              0.0919,            0.026274,            0.009307,            0.009307,            0.009307
                  16,            0.072052,            0.042754,            0.021655,             0.76152,             0.23125,             0.23129,             0.10573,            0.065352,            0.085749,            0.021715,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071007,            0.041962,            0.020112,             0.77274,             0.22176,              0.2307,             0.10322,            0.065376,            0.084903,            0.022532,            0.009208,            0.009208,            0.009208
                  18,            0.071469,            0.042462,             0.02125,             0.78983,             0.23784,             0.25013,             0.10559,            0.063915,            0.084133,            0.022495,           0.0091585,           0.0091585,           0.0091585
                  19,            0.070073,            0.041723,             0.01946,              0.8005,             0.24303,             0.25985,             0.10859,            0.063755,            0.082496,            0.019433,            0.009109,            0.009109,            0.009109
                  20,            0.069718,            0.041871,            0.019033,             0.81321,             0.25634,             0.28131,             0.12574,            0.064552,            0.081429,            0.017967,           0.0090595,           0.0090595,           0.0090595
                  21,            0.069315,            0.041782,            0.019319,              0.7238,             0.27181,             0.27298,             0.11384,            0.062313,            0.081242,            0.019271,             0.00901,             0.00901,             0.00901
                  22,            0.068427,            0.041597,            0.018113,             0.74473,             0.27272,             0.26322,             0.10625,             0.06373,            0.083544,            0.017935,           0.0089605,           0.0089605,           0.0089605
                  23,            0.067523,             0.04037,            0.017044,             0.82581,             0.25912,             0.30396,             0.13882,            0.061584,            0.078965,            0.018163,            0.008911,            0.008911,            0.008911
                  24,            0.067847,            0.040286,            0.016859,             0.81806,              0.2582,             0.30628,             0.13922,            0.060811,            0.079998,            0.017466,           0.0088615,           0.0088615,           0.0088615
                  25,            0.066903,            0.040633,            0.017061,             0.75418,             0.27241,             0.31653,             0.14613,            0.061291,            0.078721,            0.017876,            0.008812,            0.008812,            0.008812
                  26,            0.066775,            0.040568,            0.016222,             0.77897,             0.30105,             0.33246,             0.15627,            0.060364,            0.078099,            0.017253,           0.0087625,           0.0087625,           0.0087625
                  27,             0.06598,            0.040602,            0.015658,              0.7583,             0.30159,             0.32401,             0.14373,            0.060105,            0.077083,            0.015897,            0.008713,            0.008713,            0.008713
                  28,            0.066489,            0.040575,            0.016338,             0.77977,             0.31396,             0.34809,             0.15735,            0.059258,            0.078063,            0.014665,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065384,            0.040537,            0.015265,             0.75896,             0.31757,              0.3447,             0.16123,            0.059071,            0.076465,            0.014813,            0.008614,            0.008614,            0.008614
                  30,             0.06454,            0.039235,            0.014867,             0.73987,             0.30918,              0.3284,             0.15492,            0.059239,            0.076719,            0.014565,           0.0085645,           0.0085645,           0.0085645
                  31,             0.06488,            0.039549,            0.014477,              0.7545,             0.33543,             0.35011,             0.16527,            0.057479,            0.076084,            0.014366,            0.008515,            0.008515,            0.008515
                  32,            0.063962,            0.038937,             0.01368,             0.78515,             0.33359,             0.35531,             0.16965,             0.05752,            0.075136,            0.013972,           0.0084655,           0.0084655,           0.0084655
                  33,            0.063754,            0.039135,            0.013963,             0.79064,             0.32655,             0.34872,              0.1451,            0.059503,            0.075132,            0.014136,            0.008416,            0.008416,            0.008416
                  34,            0.064046,            0.038827,            0.013682,             0.80743,             0.32924,             0.36544,             0.17317,            0.057296,            0.074969,            0.013298,           0.0083665,           0.0083665,           0.0083665
                  35,            0.063487,            0.038275,            0.012846,             0.78601,             0.34045,             0.36913,             0.17792,            0.057258,            0.074625,            0.012731,            0.008317,            0.008317,            0.008317
                  36,            0.062982,            0.038957,            0.012917,             0.75536,             0.35183,              0.3766,             0.18131,            0.056848,            0.074601,            0.013524,           0.0082675,           0.0082675,           0.0082675
                  37,            0.062887,            0.037656,            0.013073,             0.75221,             0.34138,             0.37971,             0.18194,            0.055908,            0.074304,            0.013573,            0.008218,            0.008218,            0.008218
