               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                0.11,            0.053291,            0.070833,            0.072354,            0.017311,           0.0019247,          0.00042896,             0.10108,            0.089371,            0.065237,             0.07009,           0.0033233,           0.0033233
                   1,            0.099694,            0.050082,            0.057094,             0.40947,            0.049433,           0.0037268,           0.0010707,            0.096359,            0.089236,            0.057763,            0.040057,           0.0066237,           0.0066237
                   2,            0.096292,            0.048204,            0.052495,             0.13861,            0.010333,           0.0026973,          0.00074216,              0.1007,             0.14309,            0.057203,           0.0099915,           0.0098911,           0.0098911
                   3,            0.093091,             0.04925,            0.049834,              0.5537,            0.067435,            0.014616,           0.0040095,            0.089356,             0.10321,            0.053027,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089574,            0.048736,            0.046574,             0.70255,             0.05002,            0.027041,           0.0078194,            0.084175,             0.09178,            0.044097,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086544,            0.048708,            0.042435,             0.61699,             0.10108,            0.034898,            0.011269,            0.081069,            0.093327,            0.042269,            0.009802,            0.009802,            0.009802
                   6,            0.083612,            0.047699,            0.037981,             0.67313,             0.12397,            0.054899,            0.017776,            0.077945,            0.098333,            0.039127,           0.0097525,           0.0097525,           0.0097525
                   7,            0.080919,            0.048123,            0.035167,             0.76418,            0.089975,            0.073753,            0.025813,            0.078004,            0.097372,            0.039771,            0.009703,            0.009703,            0.009703
                   8,            0.079527,            0.046766,            0.032277,             0.66099,             0.16132,             0.10795,            0.036971,            0.076892,            0.089984,            0.032671,           0.0096535,           0.0096535,           0.0096535
                   9,            0.078242,            0.046062,            0.030559,             0.77204,             0.16545,             0.15882,            0.058169,            0.072073,            0.088703,             0.03108,            0.009604,            0.009604,            0.009604
                  10,            0.076503,            0.045095,            0.027758,             0.71243,             0.17055,             0.14881,            0.053342,            0.071958,            0.086607,            0.026583,           0.0095545,           0.0095545,           0.0095545
                  11,            0.076677,            0.044312,            0.025713,             0.71513,             0.17246,             0.15713,             0.06037,             0.07117,            0.085541,            0.027255,            0.009505,            0.009505,            0.009505
                  12,             0.07504,            0.043776,            0.025553,             0.74487,             0.17679,             0.17789,            0.070362,            0.071765,            0.084436,            0.024683,           0.0094555,           0.0094555,           0.0094555
                  13,            0.074219,             0.04378,            0.024109,             0.76853,             0.21625,             0.21015,            0.084186,            0.067584,            0.085541,             0.02195,            0.009406,            0.009406,            0.009406
                  14,            0.073044,            0.043918,            0.022995,             0.76544,             0.20525,             0.20781,            0.080874,            0.066585,            0.085399,            0.023048,           0.0093565,           0.0093565,           0.0093565
                  15,             0.07265,             0.04301,            0.022575,             0.75988,              0.2297,             0.22036,            0.093327,            0.065971,            0.088615,            0.023208,            0.009307,            0.009307,            0.009307
                  16,            0.071854,            0.042154,            0.021239,             0.75857,              0.2311,             0.21754,            0.091322,            0.065938,            0.085138,            0.022651,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071094,            0.041631,            0.020265,             0.76332,             0.23871,             0.23946,            0.096946,            0.064187,            0.081846,            0.020766,            0.009208,            0.009208,            0.009208
                  18,            0.070445,            0.041938,            0.019935,             0.82365,             0.22845,             0.26488,             0.10889,            0.063168,            0.082897,            0.020609,           0.0091585,           0.0091585,           0.0091585
                  19,            0.069987,            0.041517,            0.019769,             0.82426,             0.21761,              0.2465,             0.11167,            0.063401,            0.082561,            0.020638,            0.009109,            0.009109,            0.009109
                  20,            0.069718,            0.041314,            0.019003,             0.78651,              0.2622,             0.27372,             0.11364,            0.063567,             0.08218,            0.020739,           0.0090595,           0.0090595,           0.0090595
                  21,            0.068943,            0.041083,            0.018792,             0.80181,             0.25597,             0.26697,             0.11359,            0.062418,            0.081083,            0.018142,             0.00901,             0.00901,             0.00901
                  22,            0.068018,            0.041179,            0.017437,             0.78291,             0.26404,              0.2823,             0.12042,            0.063549,            0.079335,            0.019535,           0.0089605,           0.0089605,           0.0089605
                  23,            0.067627,            0.039838,             0.01691,             0.80925,             0.26122,             0.28252,             0.13348,            0.062363,            0.081858,            0.020749,            0.008911,            0.008911,            0.008911
                  24,            0.067795,            0.039953,            0.017379,             0.78711,             0.26703,             0.30043,             0.13767,            0.061342,            0.080253,            0.017615,           0.0088615,           0.0088615,           0.0088615
                  25,            0.066767,            0.039923,            0.016432,             0.79669,             0.26431,              0.3224,               0.144,            0.060318,            0.078222,            0.018208,            0.008812,            0.008812,            0.008812
                  26,             0.06618,            0.040177,            0.015639,             0.79412,             0.28968,             0.32459,             0.14205,            0.060035,            0.077785,            0.017252,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065399,            0.040023,            0.015297,             0.81485,              0.2826,             0.34097,             0.14359,            0.059476,            0.076914,            0.015733,            0.008713,            0.008713,            0.008713
                  28,            0.065782,            0.039538,            0.015268,             0.79996,             0.29157,             0.32465,             0.14968,            0.059165,            0.079051,            0.016843,           0.0086635,           0.0086635,           0.0086635
                  29,            0.064928,            0.040087,            0.015203,             0.78204,             0.30215,              0.3237,             0.14598,            0.060047,            0.077984,            0.016354,            0.008614,            0.008614,            0.008614
                  30,            0.064265,            0.038986,            0.014815,             0.78725,             0.29215,             0.32923,             0.14931,            0.058931,            0.077029,            0.017095,           0.0085645,           0.0085645,           0.0085645
                  31,            0.064445,            0.039304,              0.0142,             0.81098,             0.30386,             0.35198,              0.1652,             0.05714,            0.075167,            0.013935,            0.008515,            0.008515,            0.008515
                  32,            0.063764,            0.038647,            0.013317,             0.72433,             0.32456,             0.33688,             0.15555,            0.058073,            0.074473,            0.014046,           0.0084655,           0.0084655,           0.0084655
                  33,            0.063026,            0.038692,            0.013601,             0.73977,             0.33953,             0.35113,             0.15197,            0.058083,            0.074909,            0.013098,            0.008416,            0.008416,            0.008416
                  34,            0.063409,            0.038209,            0.012968,             0.79195,             0.34427,             0.36765,             0.17235,            0.056158,            0.074606,            0.013246,           0.0083665,           0.0083665,           0.0083665
                  35,            0.063221,            0.038028,            0.012915,             0.79257,             0.34098,             0.37462,             0.17857,            0.056735,            0.074168,            0.012945,            0.008317,            0.008317,            0.008317
                  36,            0.062488,            0.038617,            0.012382,             0.77853,             0.34493,             0.38248,             0.18443,            0.056441,            0.074542,            0.013715,           0.0082675,           0.0082675,           0.0082675
                  37,            0.062264,             0.03734,            0.012253,             0.79696,             0.36309,              0.3959,             0.19113,            0.055178,            0.074224,            0.012786,            0.008218,            0.008218,            0.008218
                  38,             0.06151,             0.03798,            0.011811,             0.75757,             0.34432,             0.36128,             0.18043,            0.056193,            0.076212,            0.015487,           0.0081685,           0.0081685,           0.0081685
                  39,            0.061561,            0.038986,            0.012217,             0.78606,             0.36212,             0.39293,             0.18539,            0.054678,            0.073167,            0.011904,            0.008119,            0.008119,            0.008119
                  40,            0.062011,            0.037782,            0.012454,             0.74646,             0.36501,             0.39067,             0.18996,            0.055054,            0.073587,            0.012088,           0.0080695,           0.0080695,           0.0080695
                  41,            0.061313,            0.037631,            0.011712,             0.73076,             0.37844,             0.39345,             0.18771,            0.055357,              0.0725,             0.01114,             0.00802,             0.00802,             0.00802
                  42,             0.06083,            0.038133,            0.011434,             0.66527,             0.36535,              0.3842,             0.18241,            0.055165,            0.073059,            0.012075,           0.0079705,           0.0079705,           0.0079705
                  43,            0.060777,            0.036887,             0.01137,             0.67154,             0.38504,               0.398,             0.19258,            0.054624,            0.073079,            0.011861,            0.007921,            0.007921,            0.007921
                  44,            0.060444,            0.037446,            0.011248,             0.71089,             0.36491,             0.37839,             0.18846,            0.054744,            0.072886,             0.01217,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05996,            0.036585,            0.010646,              0.7422,              0.3922,             0.40987,             0.20176,            0.053962,             0.07203,            0.011069,            0.007822,            0.007822,            0.007822
                  46,            0.060301,            0.036458,            0.010315,             0.66932,              0.3952,             0.41193,             0.20134,            0.053939,            0.072717,             0.01134,           0.0077725,           0.0077725,           0.0077725
                  47,            0.059509,            0.036827,            0.010418,             0.70447,             0.40525,              0.4153,             0.20845,            0.053166,            0.071372,            0.011529,            0.007723,            0.007723,            0.007723
                  48,            0.059472,            0.036637,           0.0097412,             0.73589,             0.38971,             0.41015,             0.20494,            0.053118,            0.071389,            0.010265,           0.0076735,           0.0076735,           0.0076735
                  49,            0.059698,            0.036204,            0.010557,             0.71421,             0.39177,             0.41463,             0.20638,             0.05321,            0.071338,            0.012729,            0.007624,            0.007624,            0.007624
                  50,            0.060007,            0.036429,            0.010448,             0.74197,             0.40567,             0.42997,             0.21379,            0.052776,            0.071287,             0.01105,           0.0075745,           0.0075745,           0.0075745
                  51,            0.059163,            0.036033,           0.0095003,             0.77439,              0.4042,             0.43223,             0.21571,            0.052559,            0.070567,            0.010594,            0.007525,            0.007525,            0.007525
                  52,            0.058583,             0.03616,           0.0093415,              0.7805,             0.39548,             0.43388,             0.21018,            0.052945,            0.070988,            0.011243,           0.0074755,           0.0074755,           0.0074755
                  53,            0.058649,            0.036095,           0.0094252,             0.70596,             0.42065,             0.43353,             0.22135,            0.052166,            0.069888,            0.011152,            0.007426,            0.007426,            0.007426
                  54,            0.059039,            0.035846,           0.0097126,             0.73436,             0.41481,               0.435,             0.21802,            0.051916,            0.070218,            0.011661,           0.0073765,           0.0073765,           0.0073765
                  55,            0.058357,            0.036118,           0.0091476,             0.76716,             0.41085,             0.44048,             0.22468,            0.052085,             0.07018,            0.010774,            0.007327,            0.007327,            0.007327
                  56,            0.058414,            0.035604,            0.009556,              0.7206,             0.41468,             0.43891,             0.21461,            0.051291,            0.069789,           0.0098572,           0.0072775,           0.0072775,           0.0072775
                  57,            0.057782,            0.036202,           0.0089224,             0.75195,             0.41972,             0.45146,             0.23148,            0.051108,            0.069784,           0.0098681,            0.007228,            0.007228,            0.007228
                  58,             0.05874,            0.035533,           0.0089491,             0.60035,              0.4262,             0.44104,              0.2184,            0.051393,            0.069997,           0.0099915,           0.0071785,           0.0071785,           0.0071785
                  59,            0.057781,            0.036404,           0.0091632,             0.82056,             0.39858,             0.44161,             0.22672,            0.051147,             0.06924,           0.0097471,            0.007129,            0.007129,            0.007129
                  60,            0.057544,            0.035318,           0.0088609,             0.72149,             0.41034,             0.44773,             0.22963,            0.051663,            0.070762,            0.010723,           0.0070795,           0.0070795,           0.0070795
                  61,            0.057875,             0.03543,           0.0087123,             0.73595,             0.41097,             0.44074,             0.22522,            0.051857,            0.070086,           0.0096857,             0.00703,             0.00703,             0.00703
                  62,            0.057531,            0.035125,            0.008395,             0.69268,              0.4337,              0.4665,              0.2414,            0.050671,             0.07012,           0.0099483,           0.0069805,           0.0069805,           0.0069805
                  63,            0.057606,            0.035832,           0.0086314,             0.67804,             0.43593,             0.46766,             0.24268,            0.050787,            0.069208,           0.0096094,            0.006931,            0.006931,            0.006931
