                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0745,                 5.0549,                 3.7576,                0.26967,                 0.0167,                0.00105,                0.00024,                 3.9756,                    inf,                 3.9262,                0.07009,              0.0033233,              0.0033233
                      2,                 3.4262,                 3.9057,                 2.6457,                0.17411,                0.04134,                0.01745,                0.00617,                 3.0765,                 7.7321,                 2.5601,               0.040057,              0.0066237,              0.0066237
                      3,                 2.9291,                 3.3893,                 2.1419,                0.39049,                0.06944,                0.02424,                0.00819,                 2.7022,                 3.6835,                 2.1152,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.5424,                 2.9228,                 1.8529,                0.35306,                  0.123,                0.08224,                0.03606,                 2.2976,                 3.2155,                 1.8222,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.347,                 2.7208,                 1.7396,                0.45519,                0.17209,                0.10593,                0.04581,                 2.2627,                 2.6864,                 1.7879,              0.0098515,              0.0098515,              0.0098515
                      6,                  2.199,                 2.3954,                 1.6238,                0.72723,                0.18223,                0.17163,                0.08409,                 2.0404,                 2.3758,                 1.6722,               0.009802,               0.009802,               0.009802
                      7,                 2.0881,                 2.2005,                 1.5439,                0.60726,                0.20291,                0.19652,                0.09214,                 2.0068,                 2.5135,                 1.6308,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.0239,                 2.0933,                 1.5076,                0.58518,                 0.2173,                0.23567,                0.12151,                 1.8765,                 2.1629,                 1.5499,               0.009703,               0.009703,               0.009703
                      9,                 1.9821,                 1.9826,                 1.4728,                 0.7165,                 0.2339,                0.24376,                0.13065,                 1.9047,                  1.995,                 1.5255,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9296,                 1.9156,                 1.4379,                0.67771,                0.25184,                0.25387,                0.12717,                 1.9266,                 2.0842,                 1.5656,               0.009604,               0.009604,               0.009604
                     11,                 1.8852,                 1.8443,                 1.4186,                0.72158,                0.25764,                0.29159,                0.15169,                 1.8115,                 1.9276,                  1.493,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8474,                 1.7641,                 1.3824,                0.56697,                0.27434,                0.28589,                0.15397,                 1.7938,                 1.8462,                 1.4612,               0.009505,               0.009505,               0.009505
                     13,                 1.8007,                 1.7098,                 1.3836,                0.68387,                0.27798,                0.33302,                0.18565,                 1.7071,                 1.6471,                 1.4282,              0.0094555,              0.0094555,              0.0094555
