                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9454,                 3.5375,                 2.2322,                0.05518,                0.02816,                0.03168,                0.01105,                 3.0851,                 2.6754,                 1.6399,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8024,                 2.5206,                 1.5141,                0.05138,                 0.1578,                0.06149,                0.02487,                 2.4635,                 2.1781,                 1.3365,               0.040041,              0.0066255,              0.0066255
                      3,                  2.437,                 2.1665,                 1.3453,                 0.2026,                0.11605,                 0.0762,                0.03466,                 2.2775,                 1.8522,                 1.2376,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2064,                 1.9474,                 1.2615,                0.14448,                0.14689,                0.10163,                0.04881,                  1.994,                 1.6307,                 1.1689,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0695,                 1.7871,                 1.2086,                0.21465,                0.15053,                0.12361,                0.06107,                  1.935,                 1.6148,                 1.1511,               0.009802,               0.009802,               0.009802
                      6,                  1.974,                 1.6888,                 1.1703,                0.20442,                0.17528,                0.13547,                0.06708,                 1.8132,                 1.5162,                 1.1057,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9064,                 1.6092,                 1.1431,                0.20838,                0.17944,                0.14188,                0.07062,                 1.8079,                 1.4563,                 1.1066,               0.009703,               0.009703,               0.009703
                      8,                 1.8454,                 1.5561,                 1.1245,                0.22995,                0.18008,                0.14891,                0.07549,                 1.7715,                  1.418,                 1.0795,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8124,                 1.5124,                 1.1081,                0.23436,                0.19625,                0.15934,                0.08264,                 1.7326,                 1.3859,                 1.0695,               0.009604,               0.009604,               0.009604
                     10,                  1.785,                 1.4772,                 1.0995,                0.25293,                0.20489,                0.16813,                0.08679,                 1.6813,                  1.342,                 1.0548,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7606,                 1.4471,                  1.089,                0.27134,                0.22062,                0.18321,                0.09525,                 1.6465,                 1.3014,                 1.0426,               0.009505,               0.009505,               0.009505
                     12,                 1.7347,                 1.4234,                 1.0825,                0.29441,                0.21607,                0.19423,                0.10208,                 1.6156,                 1.2797,                 1.0409,              0.0094555,              0.0094555,              0.0094555
