                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3832,                 4.3037,                 3.1955,                0.32203,                0.02365,                0.01393,                0.00386,                 3.3851,                 3.2471,                 1.9943,              0.0033251,              0.0033251,              0.0033251
                      2,                  2.913,                 2.5842,                  1.676,                0.27259,                0.08738,                0.05327,                 0.0218,                 2.6234,                 2.1287,                 1.4236,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4618,                 2.2016,                  1.395,                0.24557,                0.11536,                0.07824,                0.03842,                 2.1866,                 1.9241,                 1.2412,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2099,                 1.9586,                 1.2782,                0.36272,                0.12869,                0.10572,                0.05113,                 1.9723,                 1.6752,                 1.1765,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0488,                 1.7977,                 1.2099,                 0.2178,                  0.155,                0.12505,                0.06121,                 1.8877,                  1.559,                 1.1293,               0.009802,               0.009802,               0.009802
                      6,                 1.9559,                 1.6904,                 1.1753,                  0.246,                0.17178,                0.13959,                0.07267,                 1.7892,                 1.4603,                 1.1048,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8854,                 1.6072,                 1.1509,                0.20961,                0.18923,                0.14349,                0.07351,                  1.759,                 1.4429,                 1.0942,               0.009703,               0.009703,               0.009703
                      8,                 1.8184,                 1.5337,                 1.1289,                0.26617,                0.19846,                0.15726,                0.08249,                  1.718,                 1.3955,                  1.083,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7963,                 1.5008,                 1.1131,                0.26845,                 0.2094,                0.17537,                0.09353,                 1.6618,                 1.3358,                 1.0622,               0.009604,               0.009604,               0.009604
                     10,                 1.7558,                 1.4614,                 1.1058,                0.25803,                0.20193,                 0.1706,                 0.0907,                 1.6732,                 1.3397,                 1.0629,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7313,                  1.429,                 1.0951,                0.26891,                0.21107,                0.18056,                0.09643,                 1.6373,                 1.2883,                 1.0559,               0.009505,               0.009505,               0.009505
                     12,                 1.7141,                 1.4048,                 1.0885,                0.27569,                0.21258,                0.18432,                0.09661,                 1.6474,                 1.2777,                 1.0493,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6967,                 1.3794,                  1.084,                0.28162,                0.22223,                0.19115,                0.10236,                 1.5935,                 1.2481,                  1.039,               0.009406,               0.009406,               0.009406
                     14,                 1.6754,                 1.3604,                 1.0784,                0.30414,                0.22475,                0.20642,                0.11283,                 1.5798,                 1.2199,                 1.0345,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6588,                 1.3396,                  1.073,                0.29221,                0.23817,                0.21292,                0.11699,                 1.5522,                 1.2065,                 1.0249,               0.009307,               0.009307,               0.009307
                     16,                 1.6399,                 1.3198,                 1.0669,                0.30873,                 0.2384,                0.21382,                0.11544,                 1.5563,                 1.1967,                 1.0274,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6343,                 1.3135,                 1.0639,                0.31348,                0.22631,                0.20955,                0.11328,                 1.5664,                 1.2126,                 1.0327,               0.009208,               0.009208,               0.009208
                     18,                 1.6262,                  1.301,                 1.0631,                 0.3119,                0.23969,                   0.22,                0.11816,                 1.5284,                 1.1807,                 1.0218,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6157,                 1.2812,                 1.0554,                 0.3195,                0.24243,                0.22742,                0.12487,                 1.5243,                 1.1703,                 1.0187,               0.009109,               0.009109,               0.009109
                     20,                  1.599,                   1.27,                 1.0537,                0.31855,                0.24364,                 0.2265,                0.12379,                 1.5139,                 1.1552,                 1.0102,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5948,                 1.2505,                 1.0477,                0.32827,                0.24544,                 0.2272,                0.12493,                 1.5259,                 1.1625,                 1.0138,                0.00901,                0.00901,                0.00901
                     22,                 1.5797,                 1.2499,                 1.0459,                0.33855,                0.24965,                0.22991,                0.12666,                 1.5092,                 1.1439,                 1.0135,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5857,                 1.2471,                 1.0427,                0.32428,                0.25683,                 0.2336,                 0.1286,                 1.4932,                 1.1542,                  1.009,               0.008911,               0.008911,               0.008911
                     24,                 1.5741,                 1.2357,                 1.0415,                0.32248,                0.26017,                0.23794,                0.13161,                 1.4864,                 1.1239,                 1.0052,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5511,                 1.2207,                  1.039,                0.35385,                0.25607,                  0.241,                0.13497,                 1.4714,                 1.1155,                 1.0012,               0.008812,               0.008812,               0.008812
                     26,                 1.5543,                 1.2122,                 1.0367,                0.35035,                0.26389,                0.24352,                0.13539,                 1.4644,                 1.1193,                0.99755,              0.0087625,              0.0087625,              0.0087625
