                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0127,                 5.3594,                 3.9607,                0.00193,                0.02351,                0.00111,                0.00028,                 3.6638,                    inf,                 3.3027,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.3457,                  4.099,                 2.7891,                0.48008,                0.02471,                0.01466,                0.00482,                 2.9371,                 5.9601,                 2.5197,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.9075,                 3.5137,                 2.2427,                0.18473,                0.03399,                0.01971,                0.00709,                 2.8383,                 12.672,                 2.3821,              0.0098911,              0.0098911,              0.0098911
                      4,                  2.551,                 3.0263,                 1.9473,                0.32929,                  0.109,                 0.0959,                0.04098,                 2.3291,                 3.6678,                 1.9207,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3505,                 2.7393,                 1.7767,                0.28827,                0.18352,                0.11665,                0.05013,                 2.3095,                 2.9608,                 1.8663,               0.009802,               0.009802,               0.009802
                      6,                 2.2339,                 2.5125,                 1.7171,                0.57555,                0.19206,                0.15096,                0.07482,                 2.0797,                 3.0448,                 1.7225,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1433,                 2.2636,                 1.5944,                 0.6478,                0.18937,                0.17902,                0.08601,                 2.0261,                 2.3387,                 1.6843,               0.009703,               0.009703,               0.009703
                      8,                 2.0346,                 2.0772,                 1.5323,                 0.7095,                0.22373,                 0.2276,                0.11395,                 1.9727,                 2.1234,                 1.6456,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9998,                 2.0211,                 1.4995,                0.74158,                0.22138,                0.24558,                 0.1275,                 1.8998,                 2.0379,                 1.5791,               0.009604,               0.009604,               0.009604
                     10,                 1.9383,                 1.8762,                 1.4597,                0.76934,                0.21059,                0.26311,                0.14355,                 1.8848,                  2.024,                 1.5883,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9124,                 1.9067,                 1.4598,                0.72571,                0.26462,                0.29035,                0.14327,                  1.877,                 1.8484,                  1.566,               0.009505,               0.009505,               0.009505
                     12,                 1.8465,                 1.7655,                 1.4239,                0.68884,                0.25954,                0.33238,                0.16656,                  1.886,                 1.7767,                 1.5485,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.837,                 1.7538,                 1.4086,                0.68086,                 0.3015,                0.33104,                0.17711,                 1.7666,                 1.7988,                 1.4774,               0.009406,               0.009406,               0.009406
                     14,                 1.7761,                 1.6884,                 1.3795,                0.74215,                0.32878,                0.36212,                0.19599,                 1.7322,                 1.5675,                 1.4667,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.809,                 1.6804,                 1.3773,                0.75185,                0.32272,                0.36682,                0.18602,                 1.7502,                 1.5751,                 1.4569,               0.009307,               0.009307,               0.009307
                     16,                 1.7682,                 1.6143,                  1.363,                0.81363,                0.30007,                0.36689,                0.19506,                 1.7401,                 1.7236,                  1.447,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7313,                  1.564,                 1.3368,                0.77782,                0.33215,                0.36948,                 0.1999,                 1.7009,                 1.5146,                 1.4392,               0.009208,               0.009208,               0.009208
                     18,                  1.693,                 1.5085,                 1.3144,                0.71024,                 0.3436,                 0.3722,                0.19823,                  1.722,                 1.5344,                 1.4369,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7093,                 1.5198,                 1.3329,                 0.7889,                0.31538,                0.38706,                0.20781,                 1.6943,                 1.6008,                 1.4323,               0.009109,               0.009109,               0.009109
                     20,                 1.6801,                 1.4817,                 1.3075,                0.46247,                0.34011,                0.37608,                0.21155,                 1.6218,                 1.5835,                 1.3825,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6443,                  1.444,                  1.298,                0.72801,                0.36453,                0.39532,                0.22446,                 1.6123,                 1.4019,                 1.3657,                0.00901,                0.00901,                0.00901
                     22,                 1.6423,                 1.4049,                 1.2797,                0.61039,                0.35881,                0.36881,                0.20485,                 1.6973,                 1.5683,                 1.4205,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6418,                 1.4246,                 1.2838,                0.74549,                 0.3718,                0.40655,                0.23194,                 1.6104,                 1.3726,                 1.3871,               0.008911,               0.008911,               0.008911
                     24,                 1.6657,                 1.4462,                 1.2886,                0.69735,                0.34967,                0.40043,                0.22502,                 1.5965,                  1.368,                   1.37,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6138,                  1.416,                 1.2676,                0.66439,                0.41756,                0.43815,                0.24448,                 1.5658,                 1.2969,                 1.3527,               0.008812,               0.008812,               0.008812
                     26,                 1.6117,                 1.3852,                 1.2682,                0.66653,                0.38225,                0.41271,                0.23154,                 1.5924,                 1.4399,                 1.3562,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5925,                 1.3524,                 1.2628,                0.69116,                0.42425,                0.44918,                0.26147,                 1.5523,                 1.3187,                 1.3447,               0.008713,               0.008713,               0.008713
                     28,                 1.5704,                 1.3139,                 1.2406,                0.72761,                0.39666,                0.44225,                0.24707,                  1.557,                 1.2831,                 1.3405,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5908,                  1.353,                 1.2648,                0.61305,                0.43954,                 0.4597,                0.26528,                 1.5628,                 1.2651,                 1.3472,               0.008614,               0.008614,               0.008614
                     30,                 1.5702,                 1.2874,                 1.2326,                0.63472,                0.40932,                0.45684,                0.26354,                 1.5427,                 1.2889,                 1.3359,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5333,                 1.2733,                  1.231,                0.64244,                0.40461,                0.45683,                0.26063,                 1.5366,                 1.2497,                 1.3221,               0.008515,               0.008515,               0.008515
                     32,                 1.5455,                 1.2769,                 1.2326,                0.60963,                0.41644,                0.46706,                0.26518,                 1.5171,                 1.2763,                   1.32,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5256,                 1.2478,                 1.2197,                0.60308,                0.43776,                 0.4605,                0.26403,                 1.5397,                 1.2958,                 1.3202,               0.008416,               0.008416,               0.008416
                     34,                 1.5048,                 1.2378,                 1.2143,                0.52636,                0.41657,                0.45424,                0.26403,                 1.5211,                 1.2308,                 1.3209,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4828,                 1.1973,                 1.2024,                0.54139,                0.43918,                0.46849,                0.27827,                 1.4949,                 1.1978,                 1.2927,               0.008317,               0.008317,               0.008317
                     36,                 1.5144,                 1.2315,                  1.214,                0.65119,                0.43732,                0.47312,                0.27861,                 1.5035,                 1.2333,                  1.298,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5012,                 1.2238,                 1.2007,                0.60846,                0.45885,                0.48408,                 0.2817,                 1.5001,                 1.2288,                 1.2926,               0.008218,               0.008218,               0.008218
                     38,                 1.4804,                 1.1835,                 1.1942,                0.58681,                0.46709,                0.48042,                0.27722,                 1.4853,                 1.2095,                 1.2941,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4878,                 1.2131,                 1.2094,                0.57504,                0.42989,                0.47353,                0.28442,                 1.4952,                 1.2134,                 1.3018,               0.008119,               0.008119,               0.008119
                     40,                 1.4773,                 1.2025,                  1.198,                0.50004,                0.48186,                0.49594,                0.28583,                 1.4927,                 1.1938,                 1.2974,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4833,                 1.1663,                 1.1945,                0.61785,                 0.4659,                0.48422,                0.28196,                 1.4758,                 1.1951,                 1.2821,                0.00802,                0.00802,                0.00802
                     42,                 1.4638,                 1.1748,                 1.1889,                0.59705,                0.46484,                0.48412,                0.28775,                 1.4635,                 1.1855,                 1.2762,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.439,                 1.1452,                 1.1793,                 0.7355,                 0.4638,                0.49983,                0.28925,                 1.4864,                 1.1969,                 1.2875,               0.007921,               0.007921,               0.007921
                     44,                 1.4529,                 1.1437,                 1.1812,                0.66377,                0.46981,                0.51705,                0.30078,                  1.465,                 1.1341,                 1.2772,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4466,                 1.1462,                 1.1752,                 0.7107,                0.45425,                0.50277,                0.30565,                 1.4577,                 1.1259,                 1.2728,               0.007822,               0.007822,               0.007822
                     46,                 1.4499,                 1.1617,                 1.1805,                0.66223,                0.46401,                0.51345,                0.29908,                 1.4557,                 1.1317,                 1.2732,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4314,                 1.1326,                 1.1719,                0.59407,                0.47201,                0.50707,                0.30256,                 1.4558,                 1.1326,                 1.2764,               0.007723,               0.007723,               0.007723
                     48,                 1.4272,                 1.1418,                 1.1727,                0.66789,                0.47216,                0.51125,                0.30444,                 1.4452,                 1.1304,                 1.2683,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4106,                 1.1062,                 1.1592,                0.65171,                0.48569,                0.51358,                0.30475,                 1.4485,                 1.0991,                 1.2659,               0.007624,               0.007624,               0.007624
                     50,                 1.4229,                 1.1117,                 1.1677,                0.65119,                0.48452,                0.50721,                0.30217,                 1.4484,                 1.1275,                 1.2672,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.424,                  1.118,                  1.172,                0.56799,                0.47734,                0.51088,                0.30269,                 1.4464,                 1.1381,                 1.2703,               0.007525,               0.007525,               0.007525
                     52,                 1.4079,                 1.0933,                 1.1647,                0.59707,                0.50008,                0.52723,                0.31453,                 1.4407,                 1.0925,                  1.257,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3877,                 1.0677,                 1.1474,                0.66482,                0.50505,                0.52777,                0.31224,                 1.4354,                 1.0833,                 1.2551,               0.007426,               0.007426,               0.007426
                     54,                 1.4014,                 1.0895,                 1.1531,                0.66582,                0.48065,                0.52406,                0.31146,                 1.4308,                 1.0815,                 1.2549,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3801,                 1.0596,                 1.1488,                 0.6059,                0.48105,                0.52312,                0.31953,                 1.4281,                 1.1015,                 1.2597,               0.007327,               0.007327,               0.007327
                     56,                  1.388,                 1.0929,                 1.1569,                0.64666,                0.48677,                0.51971,                0.31469,                  1.423,                 1.0712,                 1.2538,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3745,                 1.0704,                 1.1429,                0.66026,                0.49754,                0.53324,                0.31861,                 1.4217,                 1.0795,                 1.2449,               0.007228,               0.007228,               0.007228
                     58,                 1.3902,                  1.064,                 1.1471,                0.59003,                0.48477,                0.52947,                0.31972,                 1.4174,                 1.0742,                 1.2414,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.372,                 1.0586,                 1.1475,                 0.7373,                0.47403,                0.52534,                0.31583,                 1.4098,                  1.055,                 1.2419,               0.007129,               0.007129,               0.007129
                     60,                 1.3734,                 1.0365,                 1.1321,                0.61542,                0.50297,                0.54082,                0.32453,                 1.4202,                 1.0682,                 1.2466,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3458,                 1.0255,                 1.1268,                0.67586,                0.48918,                 0.5349,                0.33083,                 1.4116,                 1.0569,                 1.2378,                0.00703,                0.00703,                0.00703
                     62,                  1.374,                 1.0464,                 1.1345,                0.67115,                 0.4907,                0.52635,                0.31801,                 1.4166,                 1.0531,                 1.2465,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3662,                 1.0507,                 1.1407,                0.65924,                0.49514,                0.53664,                0.32939,                 1.3979,                  1.041,                 1.2304,               0.006931,               0.006931,               0.006931
                     64,                   1.35,                 1.0248,                 1.1269,                0.65039,                0.51152,                0.55114,                0.33305,                 1.4031,                 1.0442,                 1.2327,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3585,                 1.0303,                 1.1372,                0.69196,                 0.4928,                0.54004,                0.32938,                 1.3969,                 1.0611,                  1.234,               0.006832,               0.006832,               0.006832
                     66,                 1.3576,                 1.0359,                 1.1394,                 0.5877,                0.51534,                0.54132,                0.33026,                 1.3982,                 1.0623,                 1.2288,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3554,                 1.0243,                 1.1256,                 0.6806,                0.50777,                0.54567,                0.33351,                 1.4006,                 1.0523,                 1.2298,               0.006733,               0.006733,               0.006733
                     68,                 1.3509,                 1.0102,                 1.1268,                0.67342,                0.50813,                0.55542,                0.33537,                 1.3898,                 1.0344,                 1.2237,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3418,                 1.0091,                 1.1205,                0.68013,                0.50863,                0.54504,                0.33161,                   1.39,                 1.0401,                 1.2262,               0.006634,               0.006634,               0.006634
                     70,                 1.3482,                 1.0025,                 1.1175,                0.59975,                0.53381,                 0.5526,                0.34287,                 1.3818,                 1.0298,                 1.2215,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3285,                0.99949,                 1.1192,                0.58477,                0.51815,                0.54872,                0.34031,                 1.3894,                 1.0481,                 1.2259,               0.006535,               0.006535,               0.006535
                     72,                 1.3172,                0.98309,                 1.1098,                 0.6836,                0.51556,                0.55097,                0.34234,                 1.3839,                 1.0531,                  1.223,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3266,                0.98836,                 1.1229,                0.67592,                 0.5159,                 0.5548,                0.34182,                 1.3798,                 1.0228,                 1.2211,               0.006436,               0.006436,               0.006436
                     74,                 1.3316,                0.99091,                 1.1114,                0.68882,                 0.5176,                0.55358,                0.33864,                 1.3995,                 1.0358,                 1.2311,              0.0063865,              0.0063865,              0.0063865
