                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2069,                 5.3957,                  3.993,                0.00301,                0.04667,                 0.0018,                0.00052,                 3.6654,                    inf,                 3.2699,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.5273,                 4.1375,                 2.8577,                0.69139,                0.06374,                0.01239,                0.00383,                 3.0357,                 5.1008,                 2.5282,              0.0066237,              0.0066237,              0.0066237
                      3,                 3.0111,                 3.5255,                 2.2701,                0.37735,                0.09935,                0.02959,                0.01001,                 2.8524,                 3.8333,                 2.3118,              0.0098911,              0.0098911,              0.0098911
                      4,                 2.6103,                 3.0353,                 1.9546,                0.37962,                0.11699,                0.07666,                0.03117,                 2.3793,                 3.4577,                 1.9082,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3949,                 2.7341,                 1.7901,                0.35399,                0.19289,                0.12465,                0.05453,                 2.3536,                 3.6258,                 1.8794,               0.009802,               0.009802,               0.009802
                      6,                 2.2713,                 2.5041,                 1.7192,                0.59708,                0.18804,                 0.1717,                0.08488,                 2.0726,                 2.4903,                 1.7039,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1667,                 2.2637,                 1.6037,                0.71417,                0.17263,                0.19535,                0.09665,                 2.0308,                 2.2566,                 1.6624,               0.009703,               0.009703,               0.009703
                      8,                 2.0621,                 2.0961,                 1.5359,                0.72609,                0.20403,                0.22482,                 0.1173,                 1.9849,                 2.3115,                 1.6532,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0283,                 2.0488,                 1.5102,                0.71934,                0.23862,                0.24184,                0.13017,                 1.9131,                  2.094,                 1.5721,               0.009604,               0.009604,               0.009604
                     10,                   1.96,                 1.8883,                 1.4686,                0.78248,                0.20929,                  0.261,                 0.1447,                 1.8656,                  1.947,                 1.5604,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9304,                  1.903,                 1.4654,                0.75799,                 0.2435,                0.29357,                0.15566,                 1.8982,                 1.8894,                 1.5639,               0.009505,               0.009505,               0.009505
                     12,                 1.8667,                 1.7699,                 1.4291,                0.68812,                0.28104,                 0.3384,                0.18334,                 1.8083,                 1.7364,                 1.5063,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8472,                 1.7658,                 1.4148,                0.75604,                0.27105,                0.30664,                0.16515,                 1.8253,                 1.8289,                 1.5106,               0.009406,               0.009406,               0.009406
                     14,                 1.7944,                 1.6942,                  1.384,                0.83984,                0.28208,                0.33801,                0.18778,                 1.7774,                 1.6276,                 1.4765,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8248,                 1.6984,                 1.3796,                 0.6954,                0.31624,                0.37286,                0.19339,                 1.7784,                 1.6634,                 1.4617,               0.009307,               0.009307,               0.009307
                     16,                  1.789,                 1.6155,                 1.3724,                0.76442,                0.31057,                0.36494,                0.19972,                   1.76,                 1.6674,                 1.4576,              0.0092575,              0.0092575,              0.0092575
                     17,                  1.748,                  1.568,                 1.3469,                0.75842,                0.31825,                0.37611,                0.20844,                 1.7342,                 1.5809,                 1.4594,               0.009208,               0.009208,               0.009208
                     18,                 1.7072,                 1.5218,                 1.3205,                0.67814,                0.32532,                0.36159,                0.20124,                 1.7591,                 1.6269,                 1.4696,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7215,                 1.5398,                 1.3414,                0.73626,                0.32822,                0.39144,                0.21948,                 1.6856,                 1.5802,                 1.4292,               0.009109,               0.009109,               0.009109
                     20,                 1.6848,                 1.4949,                 1.3121,                0.55362,                0.33042,                0.34904,                0.19788,                 1.7056,                 1.6742,                 1.4403,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6471,                 1.4525,                 1.2976,                 0.7545,                0.33933,                0.40428,                0.23303,                 1.6436,                 1.4256,                  1.395,                0.00901,                0.00901,                0.00901
                     22,                 1.6497,                 1.4121,                  1.283,                0.65195,                0.37827,                0.39904,                0.22849,                 1.6644,                 1.4888,                 1.3955,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6481,                 1.4257,                 1.2854,                0.73433,                0.35862,                 0.4013,                0.22614,                  1.639,                 1.4269,                 1.4002,               0.008911,               0.008911,               0.008911
                     24,                 1.6773,                 1.4478,                 1.2872,                0.68949,                0.35777,                0.40351,                0.23073,                 1.6092,                 1.4134,                 1.3714,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6231,                 1.4324,                 1.2665,                0.75071,                0.38116,                0.42789,                0.24686,                 1.6217,                 1.3669,                 1.3845,               0.008812,               0.008812,               0.008812
                     26,                 1.6155,                 1.3853,                 1.2668,                0.61288,                0.38552,                0.41152,                0.23693,                 1.6255,                 1.4391,                 1.3709,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6032,                 1.3644,                 1.2642,                0.63854,                0.44858,                0.45264,                0.26161,                  1.566,                 1.2703,                 1.3492,               0.008713,               0.008713,               0.008713
                     28,                 1.5752,                 1.3222,                  1.241,                0.68861,                0.41511,                0.42509,                0.23537,                 1.5946,                 1.2789,                 1.3558,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6067,                 1.3675,                 1.2715,                0.73757,                  0.397,                0.44264,                0.25614,                 1.5825,                 1.3292,                 1.3421,               0.008614,               0.008614,               0.008614
                     30,                 1.5812,                 1.3042,                 1.2362,                0.61709,                0.41214,                0.44211,                0.25441,                 1.5683,                 1.3288,                 1.3333,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5531,                 1.2844,                 1.2371,                0.59301,                0.42214,                0.45822,                0.26727,                 1.5375,                 1.2562,                 1.3182,               0.008515,               0.008515,               0.008515
                     32,                 1.5584,                  1.285,                 1.2351,                  0.645,                0.44944,                0.45875,                0.25691,                 1.5513,                 1.2475,                  1.334,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5357,                 1.2565,                 1.2228,                0.56458,                0.41423,                0.44152,                0.24894,                 1.5737,                 1.3806,                 1.3348,               0.008416,               0.008416,               0.008416
                     34,                 1.5158,                 1.2482,                 1.2168,                0.61547,                0.42436,                0.46474,                0.26747,                 1.5521,                 1.2211,                 1.3387,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4991,                 1.2205,                 1.2065,                0.57974,                0.46243,                0.47236,                0.27679,                 1.5143,                 1.2097,                 1.3021,               0.008317,               0.008317,               0.008317
                     36,                  1.518,                 1.2424,                 1.2123,                0.59612,                0.43093,                0.47267,                0.27179,                 1.5256,                 1.2547,                 1.3174,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5107,                 1.2319,                 1.2035,                0.63105,                0.44279,                0.47937,                0.27735,                 1.5177,                 1.2109,                 1.3055,               0.008218,               0.008218,               0.008218
                     38,                 1.4886,                 1.1908,                 1.1947,                0.63593,                0.45083,                0.48515,                0.28327,                  1.515,                  1.208,                 1.3054,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4939,                 1.2159,                 1.2107,                0.58843,                0.44083,                0.48923,                0.29055,                 1.5052,                 1.2069,                 1.2996,               0.008119,               0.008119,               0.008119
                     40,                 1.4851,                  1.208,                 1.2011,                0.69622,                0.41843,                0.47955,                0.27975,                 1.5029,                  1.211,                 1.3011,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4911,                 1.1771,                 1.1969,                0.64695,                0.45319,                0.50064,                0.29822,                  1.492,                 1.1832,                 1.2968,                0.00802,                0.00802,                0.00802
                     42,                 1.4708,                 1.1825,                  1.188,                0.64934,                0.45706,                0.48071,                0.28193,                 1.4979,                 1.1686,                 1.2876,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4438,                 1.1509,                 1.1794,                0.64991,                0.45311,                0.49349,                0.29411,                 1.5003,                 1.2077,                 1.2952,               0.007921,               0.007921,               0.007921
                     44,                 1.4664,                 1.1562,                 1.1833,                0.65296,                0.47256,                0.50936,                0.30221,                 1.4981,                 1.1551,                 1.2911,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4581,                 1.1478,                  1.179,                 0.6857,                0.45165,                0.49998,                 0.3005,                 1.4799,                  1.164,                 1.2831,               0.007822,               0.007822,               0.007822
                     46,                 1.4574,                 1.1603,                  1.181,                0.59268,                0.48007,                0.50704,                0.29933,                 1.4829,                 1.1645,                 1.2806,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4429,                 1.1372,                 1.1755,                0.65412,                0.46348,                0.49825,                0.30011,                 1.4803,                  1.138,                 1.2834,               0.007723,               0.007723,               0.007723
                     48,                 1.4323,                 1.1397,                 1.1747,                0.60812,                0.47977,                0.50958,                0.30532,                 1.4778,                 1.1332,                 1.2798,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4263,                 1.1052,                 1.1623,                0.62828,                0.49432,                0.51421,                0.30624,                 1.4666,                 1.1266,                 1.2729,               0.007624,               0.007624,               0.007624
                     50,                 1.4226,                 1.1155,                 1.1651,                0.59267,                0.48536,                0.51451,                0.30503,                  1.457,                  1.115,                 1.2688,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4255,                 1.1171,                 1.1727,                  0.662,                0.47381,                0.50898,                0.30671,                 1.4513,                 1.1541,                 1.2717,               0.007525,               0.007525,               0.007525
                     52,                 1.4117,                 1.1084,                 1.1651,                0.68817,                0.48482,                 0.5226,                0.31104,                 1.4574,                 1.1214,                 1.2707,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3986,                 1.0713,                 1.1505,                0.62561,                 0.4914,                0.52985,                0.31536,                 1.4549,                 1.1006,                 1.2685,               0.007426,               0.007426,               0.007426
                     54,                   1.41,                 1.0931,                 1.1552,                 0.5916,                0.48552,                0.52957,                 0.3171,                 1.4552,                 1.0962,                 1.2664,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3896,                 1.0607,                 1.1535,                0.60686,                0.49231,                0.53011,                0.32183,                 1.4453,                 1.1008,                 1.2628,               0.007327,               0.007327,               0.007327
                     56,                 1.4024,                 1.1062,                 1.1601,                 0.5937,                0.50158,                0.53029,                0.32214,                 1.4414,                 1.0981,                 1.2629,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3859,                 1.0743,                 1.1464,                0.68462,                0.50105,                0.53185,                0.31917,                 1.4375,                 1.0891,                 1.2562,               0.007228,               0.007228,               0.007228
                     58,                 1.4009,                  1.074,                 1.1479,                0.63004,                0.47952,                 0.5313,                 0.3219,                 1.4366,                 1.0911,                 1.2539,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3831,                 1.0665,                 1.1509,                0.67812,                0.48566,                0.52243,                 0.3119,                 1.4381,                 1.0799,                 1.2592,               0.007129,               0.007129,               0.007129
                     60,                 1.3845,                 1.0447,                 1.1362,                0.66986,                0.49268,                0.53993,                0.32669,                 1.4346,                 1.0724,                  1.258,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3584,                 1.0282,                 1.1291,                0.62611,                0.49925,                0.54121,                0.33256,                 1.4216,                 1.0399,                 1.2513,                0.00703,                0.00703,                0.00703
                     62,                 1.3826,                 1.0462,                 1.1352,                0.64186,                0.49026,                0.53644,                0.32313,                 1.4388,                 1.0544,                  1.256,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3768,                 1.0491,                 1.1432,                0.67582,                 0.4882,                0.53582,                 0.3227,                 1.4283,                 1.0583,                 1.2521,               0.006931,               0.006931,               0.006931
                     64,                 1.3636,                 1.0327,                 1.1289,                0.68901,                0.50079,                0.54886,                 0.3319,                 1.4247,                  1.058,                 1.2479,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3653,                 1.0396,                 1.1386,                0.69231,                0.51504,                0.55154,                0.33656,                 1.4126,                 1.0508,                 1.2453,               0.006832,               0.006832,               0.006832
                     66,                 1.3624,                 1.0363,                 1.1401,                 0.6155,                0.50505,                0.54444,                0.33231,                 1.4248,                 1.0686,                 1.2487,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3653,                 1.0307,                 1.1292,                0.65161,                0.50197,                0.55328,                0.33659,                 1.4114,                 1.0574,                  1.241,               0.006733,               0.006733,               0.006733
                     68,                 1.3516,                 1.0076,                 1.1252,                0.70384,                0.49385,                0.54102,                0.32811,                  1.407,                 1.0626,                  1.237,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3425,                 1.0059,                 1.1204,                0.70716,                0.50279,                0.54871,                0.33342,                 1.4036,                 1.0252,                 1.2368,               0.006634,               0.006634,               0.006634
