                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3149,                 5.4529,                 4.0274,                0.67817,                0.01096,                0.00251,                 0.0006,                 1.4925,                 4.5714,                 3.3388,              0.0033233,              0.0033233,              0.0033233
                      2,                 1.5113,                  4.275,                 2.9484,                0.00696,                0.10735,                0.00791,                0.00221,                 1.1347,                 4.8562,                 2.5867,              0.0066237,              0.0066237,              0.0066237
                      3,                 1.0984,                 3.5067,                 2.2921,                0.23738,                0.09148,                 0.0229,                0.00646,                 0.9264,                  5.676,                 2.2569,              0.0098911,              0.0098911,              0.0098911
                      4,                0.91028,                 2.9436,                  2.003,                0.48099,                 0.1166,                0.09148,                0.03735,                0.77975,                 3.3423,                 1.9575,              0.0098515,              0.0098515,              0.0098515
                      5,                0.82174,                  2.627,                 1.8442,                 0.5504,                0.18831,                0.13759,                 0.0559,                0.75001,                 2.6955,                 1.9023,               0.009802,               0.009802,               0.009802
                      6,                0.76585,                 2.4165,                 1.7747,                0.73922,                0.14809,                0.15409,                0.06418,                0.68918,                 2.8204,                 1.8054,              0.0097525,              0.0097525,              0.0097525
                      7,                0.71444,                 2.1978,                 1.6653,                0.68016,                0.20601,                0.20164,                0.09629,                0.65363,                 2.3581,                 1.7619,               0.009703,               0.009703,               0.009703
                      8,                0.67211,                 2.0184,                 1.6138,                0.76927,                0.20285,                 0.2401,                0.11177,                0.64576,                 2.1245,                 1.7282,              0.0096535,              0.0096535,              0.0096535
                      9,                0.64918,                 1.9969,                 1.5808,                0.74967,                0.23405,                0.25357,                0.12924,                0.61836,                   2.02,                 1.6622,               0.009604,               0.009604,               0.009604
                     10,                0.61952,                 1.8625,                 1.5458,                0.78279,                0.22256,                0.26946,                0.13616,                0.60158,                 1.9859,                 1.6536,              0.0095545,              0.0095545,              0.0095545
                     11,                0.61961,                  1.883,                 1.5421,                0.64824,                0.26279,                0.28738,                0.15069,                0.56787,                 1.8317,                 1.6027,               0.009505,               0.009505,               0.009505
                     12,                0.59692,                 1.7446,                 1.5054,                0.68166,                 0.2701,                0.32521,                0.17384,                0.56067,                  1.739,                 1.5879,              0.0094555,              0.0094555,              0.0094555
                     13,                0.59779,                 1.7612,                 1.4955,                0.70735,                0.27604,                0.31425,                0.16897,                0.56261,                 1.7546,                 1.5787,               0.009406,               0.009406,               0.009406
                     14,                0.57121,                 1.6826,                 1.4616,                0.75973,                0.28229,                0.35371,                0.18975,                0.53881,                 1.5932,                 1.5304,              0.0093565,              0.0093565,              0.0093565
                     15,                0.55212,                 1.6803,                 1.4452,                0.81397,                0.29932,                0.34644,                0.17909,                0.52785,                 1.6435,                 1.5295,               0.009307,               0.009307,               0.009307
                     16,                0.55645,                 1.6169,                 1.4465,                0.67676,                0.30305,                 0.3605,                0.19006,                0.53382,                 1.7101,                 1.5243,              0.0092575,              0.0092575,              0.0092575
                     17,                0.54871,                 1.5759,                 1.4191,                0.77369,                0.32356,                0.39058,                0.20488,                0.52212,                  1.604,                  1.513,               0.009208,               0.009208,               0.009208
                     18,                0.51993,                 1.5209,                 1.3913,                0.66623,                  0.333,                0.37407,                 0.1999,                0.53711,                 1.5565,                 1.5353,              0.0091585,              0.0091585,              0.0091585
                     19,                0.54268,                 1.5272,                 1.4145,                0.71958,                0.34136,                0.40539,                0.22016,                0.49828,                 1.5505,                 1.4665,               0.009109,               0.009109,               0.009109
                     20,                0.52346,                 1.4845,                 1.3788,                 0.5757,                0.35184,                0.38622,                0.21385,                0.49443,                 1.5493,                 1.4631,              0.0090595,              0.0090595,              0.0090595
                     21,                0.51086,                 1.4353,                 1.3655,                0.68476,                0.36518,                0.40258,                0.22155,                0.49365,                 1.3971,                  1.451,                0.00901,                0.00901,                0.00901
                     22,                0.50616,                 1.4188,                 1.3505,                 0.5947,                0.37187,                0.37581,                0.20305,                 0.5062,                 1.5383,                 1.4726,              0.0089605,              0.0089605,              0.0089605
                     23,                0.51391,                 1.4361,                 1.3529,                0.77797,                0.35959,                0.41061,                0.22633,                0.48576,                 1.4479,                 1.4368,               0.008911,               0.008911,               0.008911
                     24,                0.50627,                 1.4465,                 1.3578,                0.69429,                0.36758,                0.40748,                0.22318,                0.48932,                 1.3927,                 1.4365,              0.0088615,              0.0088615,              0.0088615
                     25,                0.50217,                 1.3981,                 1.3344,                0.64979,                0.38326,                0.41282,                0.21939,                0.49183,                 1.3366,                 1.4455,               0.008812,               0.008812,               0.008812
                     26,                0.49762,                 1.3796,                 1.3284,                0.57993,                0.38448,                0.40484,                0.22138,                0.48798,                 1.5231,                 1.4529,              0.0087625,              0.0087625,              0.0087625
                     27,                0.49986,                  1.356,                 1.3326,                  0.641,                0.40689,                0.43924,                0.24502,                0.47551,                 1.3223,                 1.4208,               0.008713,               0.008713,               0.008713
                     28,                0.47047,                 1.3222,                  1.301,                0.73651,                  0.384,                0.43456,                0.23183,                0.47665,                 1.3211,                 1.4247,              0.0086635,              0.0086635,              0.0086635
                     29,                0.49287,                 1.3587,                 1.3302,                 0.5819,                0.41329,                0.44267,                 0.2456,                0.46916,                  1.344,                  1.405,               0.008614,               0.008614,               0.008614
