                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9361,                 5.2982,                 3.9208,                 0.0038,                0.05632,                0.00278,                0.00083,                 3.3709,                 4.9681,                  3.242,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.2349,                 4.0943,                 2.7378,                0.42025,                0.05325,                 0.0129,                0.00385,                  2.892,                 6.0895,                 2.5915,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.7914,                 3.4359,                 2.1759,                0.11351,                0.09981,                0.03027,                0.01117,                 2.7185,                  6.065,                 2.2063,              0.0098911,              0.0098911,              0.0098911
                      4,                 2.4783,                 2.9998,                 1.9201,                0.27404,                0.12139,                0.10063,                0.04262,                 2.2645,                 3.2974,                 1.8844,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.283,                 2.6524,                 1.7487,                0.49104,                0.18252,                0.13314,                0.06363,                 2.1674,                 3.5124,                 1.8249,               0.009802,               0.009802,               0.009802
                      6,                 2.1677,                 2.4489,                 1.6783,                0.60455,                0.17951,                0.17732,                0.08702,                 2.1224,                 2.5072,                 1.7426,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0792,                   2.22,                 1.5681,                0.69941,                0.19668,                0.20224,                0.09568,                 2.0836,                 2.1969,                  1.647,               0.009703,               0.009703,               0.009703
                      8,                 1.9917,                 2.0566,                 1.5123,                0.69018,                 0.2217,                0.23363,                0.11669,                 1.9801,                 2.1132,                 1.6309,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9446,                  1.996,                 1.4787,                0.73175,                0.23798,                0.24812,                 0.1314,                 1.8549,                 1.9926,                 1.5775,               0.009604,               0.009604,               0.009604
                     10,                 1.8972,                 1.8565,                 1.4457,                0.79612,                0.22347,                0.27812,                0.15039,                 1.7975,                 1.9539,                 1.5123,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8754,                 1.8908,                 1.4469,                 0.6768,                 0.2485,                0.27651,                0.14288,                 1.8374,                  1.875,                 1.5574,               0.009505,               0.009505,               0.009505
                     12,                 1.8137,                  1.748,                 1.4071,                0.68386,                0.28022,                0.34721,                0.18556,                  1.764,                 1.7096,                 1.4747,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7995,                 1.7256,                 1.3892,                0.64494,                0.27619,                0.32899,                0.17841,                 1.7378,                 1.6944,                 1.4566,               0.009406,               0.009406,               0.009406
