                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9451,                 5.1777,                 3.7943,                 0.0034,                0.04968,                0.00228,                0.00064,                 3.3867,                 4.2267,                 3.0389,              0.0033233,              0.0033233,              0.0033233
                      2,                 3.3023,                  3.997,                 2.6923,                0.49632,                0.05782,                0.01421,                0.00424,                 2.9756,                 4.5229,                 2.5601,              0.0066237,              0.0066237,              0.0066237
                      3,                 2.9027,                 3.4779,                 2.2131,                0.24358,                0.08065,                0.02958,                0.01077,                 2.7236,                 4.5993,                 2.2175,              0.0098911,              0.0098911,              0.0098911
                      4,                 2.5605,                 2.9656,                 1.9463,                0.42294,                0.12087,                0.10114,                0.04111,                 2.3722,                 3.2814,                 1.9637,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3689,                 2.6533,                   1.78,                0.51873,                0.15547,                0.12319,                 0.0537,                 2.3168,                 2.8361,                 1.8755,               0.009802,               0.009802,               0.009802
                      6,                 2.2616,                 2.4784,                  1.716,                 0.5866,                0.18736,                0.17082,                0.07959,                 2.1038,                 2.5434,                  1.731,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1681,                 2.2487,                 1.6014,                0.69508,                0.17863,                0.19823,                0.09546,                  2.056,                 2.2012,                 1.6636,               0.009703,               0.009703,               0.009703
                      8,                 2.0727,                 2.0853,                 1.5426,                0.70517,                0.20051,                0.21763,                0.10809,                  1.973,                 2.1721,                 1.6364,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0399,                 2.0623,                  1.512,                0.65486,                0.22233,                0.24106,                0.12422,                 1.9323,                 2.0757,                 1.5972,               0.009604,               0.009604,               0.009604
                     10,                 1.9728,                 1.8928,                 1.4704,                0.81145,                 0.2019,                0.27504,                0.13949,                 1.9166,                 2.0956,                 1.5522,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9472,                 1.9304,                 1.4732,                0.60154,                 0.2678,                0.28783,                0.14041,                 1.9057,                 1.9078,                 1.5856,               0.009505,               0.009505,               0.009505
                     12,                 1.8818,                 1.7974,                 1.4339,                0.64224,                0.26149,                0.30329,                0.16067,                 1.8466,                 1.8692,                 1.5063,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.865,                 1.7686,                 1.4146,                0.54221,                0.29022,                0.30618,                0.15957,                 1.8144,                  1.818,                 1.4749,               0.009406,               0.009406,               0.009406
                     14,                 1.8148,                 1.7195,                 1.3881,                0.57851,                0.31184,                 0.3135,                0.16599,                 1.7998,                 1.6563,                 1.4648,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8348,                 1.7193,                 1.3756,                 0.6913,                0.28311,                0.34404,                0.18238,                 1.7361,                 1.6815,                 1.4267,               0.009307,               0.009307,               0.009307
                     16,                 1.7913,                 1.6457,                 1.3613,                0.59288,                0.30907,                0.34188,                0.18395,                 1.7564,                 1.7807,                 1.4245,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7595,                 1.5972,                 1.3371,                0.64916,                0.35972,                0.39361,                0.21595,                  1.701,                  1.547,                 1.4098,               0.009208,               0.009208,               0.009208
                     18,                 1.7164,                 1.5321,                 1.3098,                0.66786,                0.34914,                0.38016,                0.21078,                 1.6898,                  1.546,                 1.3999,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7339,                  1.553,                 1.3286,                0.68561,                0.33028,                0.39427,                0.22172,                 1.6552,                 1.5751,                 1.3647,               0.009109,               0.009109,               0.009109
                     20,                 1.7068,                 1.5131,                 1.3051,                0.48223,                0.36101,                0.38194,                0.21256,                 1.6603,                 1.5697,                 1.3695,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6691,                 1.4744,                 1.2892,                0.77994,                0.34771,                0.40382,                0.22837,                 1.6397,                 1.4218,                 1.3596,                0.00901,                0.00901,                0.00901
                     22,                 1.6637,                 1.4334,                 1.2773,                0.69396,                0.37541,                 0.4102,                0.23119,                 1.6402,                 1.5025,                  1.358,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6629,                  1.457,                 1.2764,                0.76127,                0.36001,                  0.408,                0.23671,                 1.6259,                 1.4498,                 1.3487,               0.008911,               0.008911,               0.008911
                     24,                 1.6809,                 1.4611,                 1.2803,                0.75375,                0.34997,                 0.4139,                0.23913,                 1.6094,                 1.4042,                 1.3331,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6428,                 1.4195,                 1.2605,                0.59402,                0.37615,                 0.4005,                0.22925,                 1.6024,                 1.3625,                 1.3375,               0.008812,               0.008812,               0.008812
                     26,                  1.635,                 1.4107,                 1.2606,                0.58453,                0.38002,                0.40777,                0.23797,                 1.6235,                 1.4917,                 1.3376,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6221,                 1.3792,                 1.2564,                0.62597,                0.41038,                0.42753,                0.25031,                 1.5823,                 1.3417,                 1.3169,               0.008713,               0.008713,               0.008713
                     28,                 1.5871,                 1.3439,                 1.2325,                0.71245,                0.39968,                0.41421,                0.23554,                 1.5803,                 1.3238,                 1.3158,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6169,                 1.3769,                 1.2565,                0.63846,                0.38044,                 0.4184,                 0.2352,                  1.593,                 1.3559,                 1.3231,               0.008614,               0.008614,               0.008614
                     30,                 1.5937,                 1.3166,                 1.2251,                0.60748,                0.39259,                0.42513,                0.24732,                 1.5779,                  1.372,                 1.3099,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5582,                 1.2992,                 1.2212,                 0.6176,                0.39334,                0.43915,                0.25777,                  1.547,                 1.3004,                 1.2963,               0.008515,               0.008515,               0.008515
                     32,                 1.5689,                 1.3055,                 1.2236,                0.57463,                0.41655,                0.44865,                0.25976,                 1.5489,                 1.2947,                 1.2972,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5441,                 1.2771,                 1.2086,                0.70891,                0.43131,                0.46006,                0.26223,                 1.5517,                 1.2913,                 1.3022,               0.008416,               0.008416,               0.008416
