                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.1712,5.6265,4.1131,4.0512,7.7658,0.00124,0.07034,0.00755,0.00124,0.00028,3.7813,5.3174,3.6664,3.4014,6.0856,3.1074,0.07009,0.0033233,0.0033233
2,3.6367,4.3954,2.9977,3.4019,4.7155,0.00564,0.55009,0.02797,0.00564,0.00168,3.0765,4.0065,2.6436,2.8306,4.3693,2.256,0.040068,0.0066347,0.0066347
3,3.1366,3.725,2.3487,2.944,3.9602,0.00958,0.61947,0.05154,0.00958,0.00284,2.9384,4.0354,2.283,2.6557,4.8525,1.9879,0.010024,0.009924,0.009924
4,2.6964,3.2661,2.0136,2.5816,3.5779,0.04199,0.29193,0.08746,0.04199,0.0168,2.6728,4.4118,2.0952,2.4024,5.3355,1.7978,0.009901,0.009901,0.009901
5,2.4611,2.9565,1.8231,2.3958,3.3101,0.08377,0.65617,0.13425,0.08377,0.03704,2.3624,3.073,1.8747,2.2315,3.4785,1.6262,0.009901,0.009901,0.009901
6,2.3295,2.7715,1.7426,2.3014,3.1528,0.0957,0.59324,0.14219,0.0957,0.04627,2.1883,2.8756,1.7443,2.0386,3.4373,1.5359,0.009868,0.009868,0.009868
7,2.2193,2.4708,1.6136,2.2283,2.8503,0.11817,0.69695,0.14326,0.11817,0.05716,2.1022,2.5387,1.7033,1.9911,2.8652,1.5021,0.009835,0.009835,0.009835
8,2.1091,2.2633,1.5495,2.1461,2.6605,0.13334,0.58406,0.14361,0.13334,0.06603,2.0536,2.4686,1.6421,1.939,2.8503,1.465,0.009802,0.009802,0.009802
9,2.0612,2.2071,1.5196,2.1126,2.6012,0.14362,0.59102,0.15908,0.14362,0.07359,1.9523,2.3412,1.6034,1.89,2.6839,1.4326,0.009769,0.009769,0.009769
10,1.9987,2.0399,1.4773,2.0651,2.4388,0.16091,0.55245,0.1683,0.16091,0.08312,2.0333,2.4081,1.6426,1.9415,2.8408,1.4543,0.009736,0.009736,0.009736
11,1.9703,2.0603,1.4792,2.0449,2.4702,0.20532,0.65953,0.20825,0.20532,0.10842,1.9139,2.055,1.5427,1.8708,2.4941,1.4057,0.009703,0.009703,0.009703
