                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1231,                 5.2711,                 3.8221,                0.00313,                0.03103,                0.00124,                0.00031,                 3.7064,                    inf,                 3.3275,                0.07009,              0.0033233,              0.0033233
                      2,                 3.4279,                 4.0217,                 2.7037,                0.25287,                 0.0481,                0.01394,                 0.0042,                 3.1101,                 4.6017,                 2.6231,               0.040057,              0.0066237,              0.0066237
                      3,                 2.9577,                 3.4537,                 2.1851,                0.58387,                0.08804,                0.02799,                0.01028,                  2.699,                 5.1451,                 2.2016,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.5941,                 3.0286,                 1.9404,                0.27774,                0.15705,                0.07237,                 0.0299,                  2.526,                 4.2048,                 1.9852,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3932,                 2.7583,                  1.785,                0.51669,                 0.1859,                0.09953,                0.04271,                 2.2926,                 3.0433,                 1.8432,               0.009802,               0.009802,               0.009802
                      6,                 2.2813,                 2.5961,                 1.7282,                0.49359,                0.15006,                 0.1469,                0.06979,                 2.1063,                 2.5407,                 1.7297,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1856,                 2.3393,                 1.6149,                0.52203,                0.17615,                0.14986,                0.06689,                 2.0926,                 2.3484,                 1.7205,               0.009703,               0.009703,               0.009703
                      8,                  2.081,                 2.1907,                 1.5529,                0.57673,                0.19221,                0.20717,                0.10093,                 1.9741,                 2.2778,                 1.6332,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0453,                 2.1379,                 1.5235,                0.54177,                0.22015,                0.21152,                0.10531,                 1.9055,                 2.0952,                 1.5923,               0.009604,               0.009604,               0.009604
                     10,                  1.988,                 1.9889,                 1.4845,                0.73291,                0.20439,                0.21497,                0.11299,                 1.9254,                 2.3198,                 1.5799,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9598,                 2.0065,                 1.4835,                0.64033,                0.26869,                0.29214,                0.14993,                 1.8791,                 2.0364,                  1.555,               0.009505,               0.009505,               0.009505
                     12,                 1.8983,                 1.8684,                  1.448,                0.62574,                0.26409,                0.30319,                0.15598,                 1.8514,                 1.8682,                 1.5359,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8838,                 1.8503,                 1.4287,                0.73023,                0.24588,                0.28382,                0.14828,                 1.8337,                  2.001,                 1.5012,               0.009406,               0.009406,               0.009406
                     14,                 1.8415,                 1.8195,                 1.4069,                0.64504,                0.26362,                0.30527,                0.16171,                 1.7942,                 1.6694,                 1.4927,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8658,                 1.7949,                 1.3998,                0.70543,                0.27287,                0.32402,                0.16965,                 1.7914,                 1.6466,                 1.4881,               0.009307,               0.009307,               0.009307
                     16,                 1.8254,                 1.7288,                 1.3883,                0.70038,                0.24786,                0.28481,                0.15011,                 1.8643,                 1.9019,                 1.4978,              0.0092575,              0.0092575,              0.0092575
                     17,                   1.78,                 1.6579,                 1.3595,                0.65946,                0.29471,                0.34692,                  0.185,                 1.7439,                 1.6531,                 1.4676,               0.009208,               0.009208,               0.009208
